asset,resolved_path,semantic_role,surface,authority,width,height,std,entropy,duplicate,positive_gt_count,hard_negative_gt_count,threshold,ROI,postcondition
lobby/create_room,lobby/create_room.png,map_create_room,CreateRoom,ACTION_AUTHORITY,188,56,52.27,5.55,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/create_room_confirm,lobby/create_room_confirm.png,create_room_confirm,CreateRoom,ACTION_AUTHORITY,120,48,39.62,5.05,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/archive_start_btn,lobby/archive_start_btn.png,archive_start,CreateRoom,ACTION_AUTHORITY,125,36,0.68,1.44,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/archive_skill,lobby/archive_skill.png,archive_challenges,FindAllMatchImages,OBSERVATION_ONLY,91,36,12.9,5.24,,0,0,0.85,FULL/DEFAULT,NONE
lobby/archive_strengthen,lobby/archive_strengthen.png,archive_challenges,FindAllMatchImages,OBSERVATION_ONLY,91,36,27.15,5.63,,0,0,0.85,FULL/DEFAULT,NONE
lobby/archive_gem,lobby/archive_gem.png,archive_challenges,FindAllMatchImages,OBSERVATION_ONLY,91,36,37.73,6.85,,0,0,0.85,FULL/DEFAULT,NONE
lobby/archive_key,lobby/archive_key.png,archive_challenges,FindAllMatchImages,OBSERVATION_ONLY,91,36,43.74,6.6,,0,0,0.85,FULL/DEFAULT,NONE
lobby/archive_recast,lobby/archive_recast.png,archive_challenges,FindAllMatchImages,OBSERVATION_ONLY,91,36,37.39,6.43,,0,0,0.85,FULL/DEFAULT,NONE
lobby/archive_bless,lobby/archive_bless.png,archive_challenges,FindAllMatchImages,OBSERVATION_ONLY,91,36,46.89,5.85,,0,0,0.85,FULL/DEFAULT,NONE
lobby/exit_confirm_btn,lobby/exit_confirm_btn.png,exit_confirm,QuitGame,ACTION_AUTHORITY,110,40,50.72,4.98,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/exit_cancel_btn,lobby/exit_cancel_btn.png,exit_confirm,QuitGame,ACTION_AUTHORITY,110,40,48.6,4.79,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/choice_hide_btn,lobby/choice_hide_btn.png,choice_panel,FindCardImages,OBSERVATION_ONLY,108,33,36.35,5.97,,0,0,0.85,FULL/DEFAULT,NONE
lobby/choice_refresh_btn,lobby/choice_refresh_btn.png,choice_panel,FindCardImages,OBSERVATION_ONLY,108,33,47.16,6.82,,0,0,0.85,FULL/DEFAULT,NONE
lobby/choice_giveup_btn,lobby/choice_giveup_btn.png,choice_panel,FindCardImages,OBSERVATION_ONLY,91,33,21.78,5.57,,0,0,0.85,FULL/DEFAULT,NONE
lobby/hero_hide_btn,lobby/hero_hide_btn.png,hero_challenge,FindCardImages,OBSERVATION_ONLY,108,33,26.66,4.09,,0,0,0.85,FULL/DEFAULT,NONE
lobby/hero_refresh_btn,lobby/hero_refresh_btn.png,hero_challenge,FindCardImages,OBSERVATION_ONLY,108,33,24.11,3.33,,0,0,0.85,FULL/DEFAULT,NONE
lobby/f4_clear_challenge,lobby/f4_clear_challenge.png,f4_challenge,ChangeMainLineStatus,ACTION_AUTHORITY,116,30,20.67,6.14,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/stage_begin_btn,lobby/stage_begin_btn.png,stage_begin,BeginGame,ACTION_AUTHORITY,125,36,21.15,5.66,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/stage_hero_mode_btn,lobby/stage_hero_mode_btn.png,stage_begin,BeginGame,ACTION_AUTHORITY,64,31,94.44,7.16,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/stage_archaeology_btn,lobby/stage_archaeology_btn.png,stage_begin,BeginGame,ACTION_AUTHORITY,125,36,54.71,5.84,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
kk_start,kk_start.png,room_start,EntryF1,ACTION_AUTHORITY,148,44,46.12,5.47,"DUP(4):room_start.png,room_start_alt.png,startGameBtn.png",0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/room_start,lobby/room_start.png,room_start,EntryF1,ACTION_AUTHORITY,148,44,46.12,5.47,"DUP(4):kk_start.png,room_start_alt.png,startGameBtn.png",0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/room_start_alt,lobby/room_start_alt.png,room_start,EntryF1,ACTION_AUTHORITY,148,44,46.12,5.47,"DUP(4):kk_start.png,room_start.png,startGameBtn.png",0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/startGameBtn,lobby/startGameBtn.png,room_start,EntryF1,ACTION_AUTHORITY,148,44,46.12,5.47,"DUP(4):kk_start.png,room_start.png,room_start_alt.png",0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
startGameBtn,startGameBtn.png,room_start,EntryF1,ACTION_AUTHORITY,90,26,94.31,7.17,DUP(2):roomStart.png,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/stage_start_btn_direct,lobby/stage_start_btn_direct.png,stage_start,BeginGame,ACTION_AUTHORITY,156,66,69.65,6.99,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/stage_action_buttons,lobby/stage_action_buttons.png,stage_start,BeginGame,ACTION_AUTHORITY,375,160,49.15,7.03,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/roomStart,lobby/roomStart.png,stage_start,BeginGame,ACTION_AUTHORITY,90,26,94.31,7.17,DUP(2):startGameBtn.png,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/startChallenge,lobby/startChallenge.png,stage_start,BeginGame,ACTION_AUTHORITY,88,22,103.5,6.31,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
startGameBtn,startGameBtn.png,stage_start,BeginGame,ACTION_AUTHORITY,90,26,94.31,7.17,DUP(2):roomStart.png,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
stage,stage.png,stage_page,SelectStage,OBSERVATION_ONLY,248,119,52.76,7.36,,0,0,0.85,FULL/DEFAULT,NONE
stage1,stage1.png,stage_page,SelectStage,OBSERVATION_ONLY,42,25,79.74,6.36,,0,0,0.85,FULL/DEFAULT,NONE
stage2,stage2.png,stage_page,SelectStage,OBSERVATION_ONLY,42,25,82.98,6.59,,0,0,0.85,FULL/DEFAULT,NONE
stage3,stage3.png,stage_page,SelectStage,OBSERVATION_ONLY,42,25,83.59,6.55,,0,0,0.85,FULL/DEFAULT,NONE
stage4,stage4.png,stage_page,SelectStage,OBSERVATION_ONLY,42,25,89.97,6.32,,0,0,0.85,FULL/DEFAULT,NONE
kk_start,kk_start.png,lobby_start,EntryF1,ACTION_AUTHORITY,148,44,46.12,5.47,"DUP(4):room_start.png,room_start_alt.png,startGameBtn.png",0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/room_start,lobby/room_start.png,lobby_start,EntryF1,ACTION_AUTHORITY,148,44,46.12,5.47,"DUP(4):kk_start.png,room_start_alt.png,startGameBtn.png",0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/room_start_alt,lobby/room_start_alt.png,lobby_start,EntryF1,ACTION_AUTHORITY,148,44,46.12,5.47,"DUP(4):kk_start.png,room_start.png,startGameBtn.png",0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/startGameBtn,lobby/startGameBtn.png,lobby_start,EntryF1,ACTION_AUTHORITY,148,44,46.12,5.47,"DUP(4):kk_start.png,room_start.png,room_start_alt.png",0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
startGameBtn,startGameBtn.png,lobby_start,EntryF1,ACTION_AUTHORITY,90,26,94.31,7.17,DUP(2):roomStart.png,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
kk_start,kk_start.png,lobby_room,EntryF1,ACTION_AUTHORITY,148,44,46.12,5.47,"DUP(4):room_start.png,room_start_alt.png,startGameBtn.png",0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/room_start,lobby/room_start.png,lobby_room,EntryF1,ACTION_AUTHORITY,148,44,46.12,5.47,"DUP(4):kk_start.png,room_start_alt.png,startGameBtn.png",0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/room_start_alt,lobby/room_start_alt.png,lobby_room,EntryF1,ACTION_AUTHORITY,148,44,46.12,5.47,"DUP(4):kk_start.png,room_start.png,startGameBtn.png",0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/startGameBtn,lobby/startGameBtn.png,lobby_room,EntryF1,ACTION_AUTHORITY,148,44,46.12,5.47,"DUP(4):kk_start.png,room_start.png,room_start_alt.png",0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
startGameBtn,startGameBtn.png,lobby_room,EntryF1,ACTION_AUTHORITY,90,26,94.31,7.17,DUP(2):roomStart.png,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/lobby_refresh,lobby/lobby_refresh.png,lobby_refresh,CreateRoom,ACTION_AUTHORITY,40,30,13.19,1.85,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/lobby_room_list,lobby/lobby_room_list.png,lobby_room_list,CreateRoom,OBSERVATION_ONLY,90,27,38.76,1.35,,0,0,0.85,FULL/DEFAULT,NONE
lobby/lobby_room_list_selected,lobby/lobby_room_list_selected.png,lobby_room_list,CreateRoom,OBSERVATION_ONLY,75,25,30.39,0.96,,0,0,0.85,FULL/DEFAULT,NONE
lobby/lobby_room_list_tab,lobby/lobby_room_list_tab.png,lobby_room_list_tab,CreateRoom,ACTION_AUTHORITY,75,21,43.45,1.39,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/lobby_room_list_selected,lobby/lobby_room_list_selected.png,lobby_room_list_selected,CreateRoom,OBSERVATION_ONLY,75,25,30.39,0.96,,0,0,0.85,FULL/DEFAULT,NONE
lobby/lobby_search_box,lobby/lobby_search_box.png,lobby_search_box,CreateRoom,ACTION_AUTHORITY,185,30,17.78,1.84,,0,0,0.7,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/lobby_search_icon,lobby/lobby_search_icon.png,lobby_search_icon,CreateRoom,ACTION_AUTHORITY,26,22,28.15,3.63,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/lobby_quick_join,lobby/lobby_quick_join.png,lobby_quick_join,CreateRoom,ACTION_AUTHORITY,135,20,5.58,0.85,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/lobby_3_4,lobby/lobby_3_4.png,lobby_join,CreateRoom,ACTION_AUTHORITY,37,24,2.98,0.73,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/lobby_quick_join,lobby/lobby_quick_join.png,lobby_join,CreateRoom,ACTION_AUTHORITY,135,20,5.58,0.85,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/lobby_3_4,lobby/lobby_3_4.png,lobby_3_4,CreateRoom,OBSERVATION_ONLY,37,24,2.98,0.73,,0,0,0.85,FULL/DEFAULT,NONE
lobby/lobby_popup_dialog,lobby/lobby_popup_dialog.png,lobby_popup_dialog,CreateRoom,OBSERVATION_ONLY,415,65,26.92,2.99,,0,0,0.85,FULL/DEFAULT,NONE
lobby/lobby_popup_leave,lobby/lobby_popup_leave.png,lobby_popup_leave,CreateRoom,ACTION_AUTHORITY,80,40,5.3,1.76,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
lobby/lobby_room_lock,lobby/lobby_room_lock.png,lobby_room_lock,CreateRoom,OBSERVATION_ONLY,30,24,2.99,0.73,,0,0,0.85,FULL/DEFAULT,NONE
lobby/room_cancel_ready,lobby/room_cancel_ready.png,room_cancel_ready,CreateRoom,OBSERVATION_ONLY,130,40,1.09,0.97,,0,0,0.85,FULL/DEFAULT,NONE
lobby/room_exit_btn,lobby/room_exit_btn.png,room_exit_btn,CreateRoom,OBSERVATION_ONLY,80,40,1.09,0.96,,0,0,0.85,FULL/DEFAULT,NONE
lobby/roomStart,lobby/roomStart.png,start,EntryF1,ACTION_AUTHORITY,90,26,94.31,7.17,DUP(2):startGameBtn.png,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
startGameBtn,startGameBtn.png,start,EntryF1,ACTION_AUTHORITY,90,26,94.31,7.17,DUP(2):roomStart.png,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
continueGame,continueGame.png,start,EntryF1,ACTION_AUTHORITY,95,25,56.51,7.04,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
jihuo,jihuo.png,start,EntryF1,ACTION_AUTHORITY,53,53,36.38,6.28,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
ok,ok.png,ok,ClickOKBtn,ACTION_AUTHORITY,43,20,35.18,6.83,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
yes,yes.png,ok,ClickOKBtn,ACTION_AUTHORITY,28,29,66.13,5.77,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
close,close.png,close,QuitGame,ACTION_AUTHORITY,20,20,41.93,5.58,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
failGiftClose,failGiftClose.png,close,QuitGame,ACTION_AUTHORITY,20,22,41.41,5.54,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
quit,quit.png,close,QuitGame,ACTION_AUTHORITY,75,24,77.47,6.9,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
fail,fail.png,fail,MonitorGameOver,ACTION_AUTHORITY,36,20,26.44,5.48,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
gameFail,gameFail.png,fail,MonitorGameOver,ACTION_AUTHORITY,96,96,53.37,7.5,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
giveUp,giveUp.png,giveup,MonitorGameOver,OBSERVATION_ONLY,42,20,20.68,5.95,,0,0,0.85,FULL/DEFAULT,NONE
gameDisconnect,gameDisconnect.png,disconnect,MonitorGameOver,ACTION_AUTHORITY,193,37,52.49,6.07,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
retryConnect,retryConnect.png,disconnect,MonitorGameOver,ACTION_AUTHORITY,33,20,37.7,6.61,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
pauseGame,pauseGame.png,pause,Run,OBSERVATION_ONLY,90,29,46.65,6.38,,0,0,0.85,FULL/DEFAULT,NONE
stage,stage.png,stage,SelectStage,OBSERVATION_ONLY,248,119,52.76,7.36,,0,0,0.85,FULL/DEFAULT,NONE
