pkg,t_rel,clock,g_badge,v_badge
20260914_212509,-0.2,00:01,2,*
20260914_212509,65.7,01:07,13,2
20260914_212509,125.7,02:07,14,-
20260914_212509,183.2,03:05,16,3
20260914_212509,240.1,04:01,-17,4
20260914_212509,295.4,04:56,17,4
20260914_212509,359.3,06:00,14,4
20260914_212509,420.3,07:01,8,6
20260914_212509,480.3,08:01,3,6
20260914_212509,537.0,08:57,-,7
20260914_212509,599.5,09:59,-,7
20260914_212509,798.4,13:18,4,10
20260914_212509,957.4,15:57,6,国
20260914_212509,1169.7,19:27,8,16
20260914_212509,1229.8,20:27,8,17
20260914_225835,-0.2,00:01,2,*
20260914_225835,64.1,01:05,10,2
20260914_225835,128.3,02:09,13,2
20260914_225835,186.3,03:07,13,2
20260914_225835,243.9,04:05,16,3
20260914_225835,305.6,05:06,16,3
20260914_225835,364.0,06:05,18,4
20260914_225835,420.1,07:01,15,5
20260914_225835,479.8,08:00,10,5
20260914_225835,540.0,09:00,6,6
20260914_225835,599.1,09:59,3,7
20260914_225835,663.2,11:03,1,8
20260914_225835,868.3,14:28,3,10
20260914_225835,929.7,15:29,1,13
20260915_000229,-0.2,00:02,2,*
20260915_000229,60.0,01:02,10,2
20260915_000229,125.0,02:07,13,2
20260915_000229,183.1,03:05,13,2
20260915_000229,240.8,04:02,15,3
20260915_000229,299.4,05:01,16,3
20260915_000229,364.4,06:05,18,4
20260915_000229,470.0,07:51,20,5
20260915_000229,532.5,08:53,20,16
20260915_000229,595.7,09:56,22,6
20260915_000229,659.5,10:59,23,6
20260915_000229,721.5,12:01,-24,7
20260915_000229,784.2,13:04,25,8
20260915_000229,850.2,14:10,,√
20260915_000229,924.4,15:24,,√
20260915_000229,990.0,16:29,,√
20260915_000229,1050.3,17:29,,√
20260915_000229,1116.4,18:35,,√
20260915_000229,1182.0,19:41,29,12
20260915_000229,1249.6,20:48,30,13
20260915_000229,1315.2,21:54,31,13
20260915_000229,1378.2,22:56,32,14
20260907_220109,-0.1,00:03,3,*
20260907_220109,55.7,00:58,10,1
20260907_220109,110.9,01:54,13,2
20260907_220109,168.4,02:51,13,2
20260907_220109,228.7,03:51,16,2
20260907_220109,286.2,04:46,16,3
20260907_220109,361.1,06:03,14,4
20260907_220109,419.2,07:01,13,5
20260907_220109,478.8,08:00,10,6
20260907_220109,539.5,09:01,7,7
20260907_220109,600.7,10:02,3,7
20260907_220109,660.0,11:00,-,8
20260907_220109,719.8,11:59,-,7
20260907_220109,775.4,12:55,2,8
20260907_220109,836.4,13:55,2,9
20260907_220109,897.2,14:55,3,9
20260907_220109,957.7,15:56,3,10
20260907_220109,1019.8,16:57,4,12
