pkg,t_rel_s,action,target,slots(name:rarity:conf)
solo_ingame_chain_20260907_220109_971377,14.3,pick,祝福,祝福:purple:0.97|祝福:orange:0.97|祝福:blue:0.97|藏宝图:orange:0.99
solo_ingame_chain_20260907_220109_971377,19.6,pick,祝福,祝福:purple:0.97|祝福:orange:0.97|箭术:orange:0.98|成长:orange:0.99
solo_ingame_chain_20260907_220109_971377,26.6,pick,祝福,祝福:blue:0.97|成长:orange:0.96|暴击:blue:0.98|修仙:orange:0.92
solo_ingame_chain_20260907_220109_971377,33.5,refresh,bond_refresh_btn,体术:red:0.84|修仙:purple:0.78|藏宝图:red:1.0|藏宝图:orange:0.99
solo_ingame_chain_20260907_220109_971377,36.2,pick,经济,经济:orange:0.98|体术:red:0.67|体术:red:0.88|亡灵:orange:0.99
solo_ingame_chain_20260907_220109_971377,42.0,pick,经济,经济:orange:0.98|三国:orange:0.71|经济:blue:0.98|异火:orange:0.91
solo_ingame_chain_20260907_220109_971377,49.1,pick,经济,经济:red:0.98|箭术:orange:0.96|刀刀:orange:0.89|藏宝图:orange:0.97
solo_ingame_chain_20260907_220109_971377,56.7,pick,成长,贪婪:red:0.95|挑战:orange:0.97|封神:orange:0.84|成长:orange:0.98
solo_ingame_chain_20260907_220109_971377,62.3,pick,成长,亡灵:purple:0.95|挑战:orange:0.97|成长:orange:0.99|成长:orange:0.98
solo_ingame_chain_20260907_220109_971377,69.8,pick,成长,法术:blue:0.99|挑战:orange:0.97|法术:orange:0.99|成长:orange:0.99
solo_ingame_chain_20260907_220109_971377,75.9,pick,成长,成长:orange:0.98|贪婪:red:0.95|挑战:orange:0.97|刀刀:orange:0.93
solo_ingame_chain_20260907_220109_971377,83.4,pick,挑战,挑战:orange:0.96|藏宝图:red:0.99|刀刀:orange:0.89|藏宝图:orange:0.99
solo_ingame_chain_20260907_220109_971377,90.9,pick,挑战,挑战:orange:0.96|贪婪:red:0.95|贪婪:red:0.95|贪婪:orange:0.95
solo_ingame_chain_20260907_220109_971377,97.0,pick,挑战,法术:blue:0.99|封神:orange:0.51|修仙:purple:0.92|挑战:orange:0.92
solo_ingame_chain_20260907_220109_971377,104.3,pick,法术,敏捷:green:0.88|暴击:orange:0.98|法术:orange:0.99|箭术:orange:0.94
solo_ingame_chain_20260907_220109_971377,111.9,pick,法术,修仙:purple:0.86|力量:red:0.9|体术:orange:0.88|法术:orange:0.99
solo_ingame_chain_20260907_220109_971377,119.9,pick,贪婪,亡灵:purple:0.95|贪婪:red:0.95|贪婪:red:0.95|暴击:orange:0.98
solo_ingame_chain_20260907_220109_971377,126.3,pick,贪婪,刀刀:orange:0.76|贪婪:red:0.95|异火:orange:0.87|体术:orange:0.96
solo_ingame_chain_20260907_220109_971377,136.2,refresh,bond_refresh_btn,三国:orange:0.99|箭术:orange:0.94|智力:blue:0.86|体术:orange:0.94
solo_ingame_chain_20260907_220109_971377,138.4,pick,法术,体术:red:0.84|亡灵:orange:0.79|修仙:purple:0.92|法术:orange:0.99
solo_ingame_chain_20260907_220109_971377,146.5,pick,暴击,暴击:green:0.98|藏宝图:red:0.99|箭术:orange:0.99|体术:orange:0.98
solo_ingame_chain_20260907_220109_971377,154.8,pick,暴击,暴击:green:0.98|急速:orange:0.95|修仙:purple:0.92|贪婪:orange:0.95
solo_ingame_chain_20260907_220109_971377,161.4,pick,贪婪,魔术:orange:0.99|急速:blue:0.95|贪婪:red:0.95|异火:orange:0.85
solo_ingame_chain_20260907_220109_971377,169.5,refresh,bond_refresh_btn,异火:orange:0.57|藏宝图:red:0.99|魔术:orange:0.96|修仙:orange:0.93
