pkg,t_rel_s,game_clock,wood,gold,kill,wood_rate_disp,task,cum_draw,cum_refresh,cum_spend_wood,gross_wood_income,cum_bond_picks,cum_skill_picks
20260907_220109,-0.1,00:03,613,13799,1809,+1.5,1-1,0,0,0,613,0,0
20260907_220109,13.3,00:16,1013,16000,1869,+1.5,1-8,1,0,20,1033,0,0
20260907_220109,18.6,00:21,1081,16500,1891,+1.5,2-1,2,0,60,1141,1,0
20260907_220109,25.4,00:28,1247,22900,2221,+1.5,2-3,3,0,120,1367,2,0
20260907_220109,32.6,00:35,1592,30400,2257,+1.5,2-6,4,0,200,1792,3,0
20260907_220109,35.1,00:38,1607,30700,2275,+1.5,2-7,4,1,240,1847,3,0
20260907_220109,40.9,00:44,1567,31300,2305,+1.5,2-8,5,1,340,1907,4,0
20260907_220109,48.0,00:51,1528,32000,2342,+1.5,2-9,6,1,440,1968,5,0
20260907_220109,55.7,00:58,1492,32700,2373,+2,2-10,7,1,540,2032,6,0
20260907_220109,61.4,01:04,1637,39000,2420,+2,,8,1,640,2277,7,0
20260907_220109,68.7,01:10,1601,39900,2472,+2,,9,1,740,2341,8,0
20260907_220109,74.8,01:18,1564,40700,2521,+2,,10,1,840,2404,9,0
20260907_220109,89.8,01:32,1499,42500,2629,+2.3,,12,1,1040,2539,11,0
20260907_220109,95.9,01:39,1413,43099,2668,+2.3,,13,1,1140,2553,12,0
20260907_220109,103.2,01:46,1447,48099,2722,+2.3,3-6,14,1,1240,2687,13,0
20260907_220109,110.9,01:54,1364,48900,2769,+2.3,3-6,15,1,1340,2704,14,0
20260907_220109,118.8,02:01,1438,49900,2832,+2.3,3-6,16,1,1440,2878,15,0
20260907_220109,125.3,02:08,1404,56800,2882,+2.3,,17,1,1540,2944,16,0
20260907_220109,135.1,02:18,1378,59500,3859,+2.3,,18,1,1640,3018,17,0
20260907_220109,137.3,02:20,1343,60400,3876,+2.3,,18,2,1680,3023,17,0
20260907_220109,145.4,02:28,1262,61400,3935,+2.3,,19,2,1780,3042,18,0
20260907_220109,153.6,02:36,1373,62500,4010,+2.3,,20,2,1880,3253,19,0
20260907_220109,160.1,02:43,1289,63300,4062,+2.3,,21,2,1980,3269,20,0
20260907_220109,168.4,02:51,1408,64300,4126,+2.3,,22,2,2080,3488,21,0
20260907_220109,171.8,02:54,1375,64600,4146,+2.3,,22,3,2120,3495,21,0
20260907_220109,185.3,03:08,1249,66300,4256,+2.3,,23,4,2280,3529,22,0
20260907_220109,188.5,03:11,1216,66700,4287,+2.3,,23,5,2320,3536,22,0
20260907_220109,195.4,03:18,1183,67900,4372,+2.3,,24,5,2420,3603,23,0
20260907_220109,204.1,03:26,1102,71100,4460,+2.3,,25,5,2520,3622,24,0
20260907_220109,212.8,03:35,1138,76800,4546,+2.3,4-1,26,5,2620,3758,25,0
20260907_220109,219.7,03:42,1054,77700,4609,+2.3,4-1,27,5,2720,3774,26,0
20260907_220109,228.7,03:51,976,78800,4690,+2.3,4-1,28,5,2820,3796,27,0
20260907_220109,235.5,03:58,1084,80000,4776,+2.3,4-2,29,5,2920,4004,28,0
20260907_220109,242.9,04:05,1001,81100,4850,+2.3,4-2,30,5,3020,4021,29,0
20260907_220109,253.9,04:16,1104,82700,4978,+2.3,4-2,31,5,3120,4224,30,0
20260907_220109,256.3,04:19,1071,83100,5008,+2.3,4-2,31,6,3160,4231,30,0
20260907_220109,265.7,04:28,992,84400,5111,+2.3,4-2,32,6,3260,4252,31,0
20260907_220109,269.0,04:31,1010,84900,5152,+2.3,4-3,32,7,3300,4310,31,0
20260907_220109,271.4,04:34,957,87800,5189,+2.3,4-3,32,8,3360,4317,31,0
20260907_220109,282.6,04:45,883,89900,5314,+2.3,4-3,33,8,3460,4343,32,0
20260907_220109,286.2,04:46,883,89900,5317,+2.3,4-3,33,9,3500,4383,32,0
20260907_220109,289.2,04:51,897,90800,5385,+2.3,4-3,33,10,3560,4457,32,0
20260907_220109,292.5,04:55,867,91300,5429,+2.3,4-3,33,11,3640,4507,32,0
20260907_220109,299.5,05:02,873,92400,5509,+2.3,4-4,33,12,3740,4613,32,0
20260907_220109,302.0,05:04,798,92700,5535,+2.3,4-4,33,13,3840,4638,32,0
20260907_220109,329.9,05:32,956,101000,6271,+2.3,4-5,33,14,3940,4896,33,2
20260907_220109,361.1,06:03,1095,115000,6792,+2.3,4-5,33,14,3940,5035,33,4
20260907_220109,389.4,06:31,1278,124000,7220,+2.4,4-6,34,14,4040,5318,33,7
20260907_220109,419.2,07:01,1644,134000,7723,+2.4,4-8,34,14,4040,5684,33,10
20260907_220109,450.0,07:32,1821,140000,8262,+2.4,4-10,34,14,4040,5861,33,12
20260907_220109,478.8,08:00,2346,155000,8763,+2.4,5-1,34,14,4040,6386,33,14
20260907_220109,509.1,08:30,2520,161000,9352,+2.4,5-2,34,14,4040,6560,33,17
20260907_220109,539.5,09:01,2747,241000,9969,+2.4,5-5,34,14,4040,6787,33,19
20260907_220109,570.0,09:31,2963,270000,10500,+2.4,5-5,34,14,4040,7003,33,21
20260907_220109,600.7,10:02,3040,281000,11399,+2.4,5-5,34,14,4040,7080,33,23
20260907_220109,629.3,10:30,3159,296000,12100,+2.4,5-5,34,14,4040,7199,33,25
20260907_220109,660.0,11:00,3375,307000,14000,+2.4,5-5,34,14,4040,7415,33,28
20260907_220109,683.5,11:23,3547,425000,14500,+2.4,5-6,34,14,4040,7587,33,28
20260907_220109,719.8,11:59,3807,447000,16500,+2.4,5-8,34,14,4040,7847,33,28
20260907_220109,749.7,12:29,3967,467000,17200,+2.4,5-8,34,14,4040,8007,33,28
20260907_220109,775.4,12:55,4029,477000,18000,+2.4,5-8,34,14,4040,8069,33,28
20260907_220109,810.4,13:29,4579,486000,18900,+2.4,5-10,34,14,4040,8619,33,28
20260907_220109,836.4,13:55,4694,504000,19500,+2.4,5-10,34,14,4040,8734,33,28
20260907_220109,871.3,14:30,4781,512000,20400,+2.4,5-10,34,14,4040,8821,33,28
20260907_220109,897.2,14:55,5034,532000,21100,+2.4,5-10,34,14,4040,9074,33,28
20260907_220109,932.0,15:30,5121,645000,22000,+2.4,5-10,34,14,4040,9161,33,28
20260907_220109,957.7,15:56,5183,667000,22599,+2.4,5-10,34,14,4040,9223,33,28
20260907_220109,992.6,16:30,5411,675000,23500,+2.4,5-10,34,14,4040,9451,33,28
20260907_220109,1019.8,16:57,5448,684000,23600,+2.4,,34,14,4040,9488,33,28
20260914_212509,-0.2,00:01,617,14200,1850,+1.5,1-1,0,0,0,617,0,0
20260914_212509,15.7,00:17,972,16600,1913,+1.5,1-7,1,0,20,992,0,0
20260914_212509,28.6,00:30,1531,27599,2284,+1.5,2-6,2,0,60,1591,1,0
20260914_212509,35.0,00:37,1632,28400,2328,+1.5,2-9,3,0,120,1752,2,0
20260914_212509,44.6,00:46,2081,36300,2383,+1.5,,4,0,200,2281,3,0
20260914_212509,48.4,00:50,2212,40599,2408,+1.5,3-6,4,1,240,2452,3,0
20260914_212509,65.7,01:07,2472,47699,2516,+1.5,4-1,6,1,440,2912,5,0
20260914_212509,72.1,01:14,2433,48500,2561,+1.5,4-2,7,1,540,2973,6,0
20260914_212509,80.7,01:22,2446,49400,2619,+1.5,4-4,8,1,640,3086,7,0
20260914_212509,94.3,01:36,2433,54700,2709,+1.6,4-6,10,1,840,3273,9,0
20260914_212509,104.8,01:46,2352,55800,2768,+1.9,4-6,11,1,940,3292,10,0
20260914_212509,113.0,01:54,2368,57100,2846,+1.9,4-8,12,1,1040,3408,11,0
20260914_212509,115.2,01:57,2384,57400,2860,+1.9,4-8,12,2,1080,3464,11,0
20260914_212509,125.7,02:07,2304,58500,2923,+1.9,4-8,13,2,1180,3484,12,0
20260914_212509,140.7,02:22,2183,62000,3029,+1.9,4-9,15,2,1380,3563,14,0
20260914_212509,149.0,02:30,2149,62900,3092,+1.9,4-10,16,2,1480,3629,15,0
20260914_212509,155.3,02:37,2181,63800,3141,+1.9,4-10,17,2,1580,3761,16,0
20260914_212509,163.3,02:45,2097,64700,3195,+1.9,4-10,18,2,1680,3777,17,0
20260914_212509,175.2,02:57,2100,70300,3278,+2.4,5-1,19,3,1820,3920,18,0
20260914_212509,179.1,03:00,2067,70700,3298,+2.4,5-1,19,4,1860,3927,18,0
20260914_212509,183.2,03:05,2017,71200,3330,+2.4,5-1,19,5,1920,3937,18,0
20260914_212509,191.9,03:13,1990,72400,3399,+2.4,5-2,20,5,2020,4010,19,0
20260914_212509,194.1,03:15,1955,72600,3411,+2.4,5-2,20,6,2060,4015,19,0
20260914_212509,204.8,03:26,1932,74300,3515,+2.4,5-3,21,6,2160,4092,20,0
20260914_212509,220.1,03:41,1819,78600,3658,+2.4,5-3,23,6,2360,4179,22,0
20260914_212509,224.2,03:45,1839,79200,3697,+2.4,5-4,23,7,2400,4239,22,0
20260914_212509,232.9,03:54,1761,80399,3761,+2.4,5-4,24,7,2500,4261,23,0
20260914_212509,240.1,04:01,1729,81600,3826,+2.4,5-5,25,7,2600,4329,24,0
20260914_212509,248.9,04:10,1793,83200,3900,+2.4,5-5,26,7,2700,4493,25,0
20260914_212509,251.4,04:12,1758,83500,3919,+2.4,5-5,26,8,2740,4498,25,0
20260914_212509,269.3,04:30,1602,86000,4969,+2.4,5-5,28,8,2940,4542,27,0
20260914_212509,276.5,04:38,1670,87300,5024,+2.4,5-5,29,8,3040,4710,28,0
20260914_212509,287.2,04:48,1712,201000,5177,+2.4,5-6,30,8,3140,4852,29,0
20260914_212509,291.5,04:52,1682,204000,5282,+2.4,5-6,30,9,3180,4862,29,0
20260914_212509,295.4,04:56,1631,205000,5373,+2.4,5-6,30,10,3240,4871,29,0
20260914_212509,297.7,04:59,1559,206000,5432,+2.4,5-6,30,11,3320,4879,29,0
20260914_212509,329.9,05:31,1818,220000,6462,+2.4,5-8,30,11,3320,5138,30,2
20260914_212509,359.3,06:00,2266,228000,6802,+2.4,5-9,30,11,3320,5586,30,5
20260914_212509,389.6,06:30,2420,242000,7265,+2.4,,30,11,3320,5740,30,9
20260914_212509,420.3,07:01,2689,248000,7758,+2.4,,30,11,3320,6009,30,12
20260914_212509,450.4,07:31,2813,258000,8294,+2.4,6-1,30,11,3320,6133,30,15
20260914_212509,480.3,08:01,2887,264000,8805,+2.4,6-1,30,11,3320,6207,30,18
20260914_212509,509.1,08:29,3148,275000,9349,+2.4,6-1,30,11,3320,6468,30,21
20260914_212509,537.0,08:57,3018,301000,9904,+2.4,6-1,32,11,3520,6538,31,22
20260914_212509,541.2,09:01,2988,302000,9963,+2.4,6-1,32,12,3560,6548,31,22
20260914_212509,543.7,09:04,2935,302000,10000,+2.4,6-1,32,13,3620,6555,31,22
20260914_212509,552.2,09:12,2855,304000,10100,+2.4,6-1,33,13,3720,6575,32,22
20260914_212509,560.9,09:21,2777,312000,10300,+2.4,6-1,34,13,3820,6597,33,22
20260914_212509,563.3,09:23,2742,312000,10400,+2.4,6-1,34,14,3860,6602,33,22
20260914_212509,572.2,09:32,2878,314000,10600,+2.4,6-1,35,14,3960,6838,34,22
20260914_212509,576.2,09:36,2896,315000,10600,+2.4,6-1,35,15,4000,6896,34,22
20260914_212509,580.2,09:40,2940,316000,10700,+2.4,6-1,35,16,4060,7000,34,22
20260914_212509,599.5,09:59,2907,320000,11100,+2.4,,35,17,4140,7047,34,23
20260914_212509,615.9,10:16,2949,328000,12600,+2.4,,35,17,4140,7089,34,23
20260914_212509,798.4,13:18,3970,401000,17800,+2.4,,35,17,4140,8110,34,23
20260914_212509,957.4,15:57,4695,465000,22700,+2.4,,35,17,4140,8835,34,23
20260914_212509,1169.7,19:27,5753,585000,,+2.4,,35,17,4140,9893,34,23
20260914_212509,1200.3,19:57,5753,585000,29000,+2.4,,35,17,4140,9893,34,23
20260914_212509,1229.8,20:27,5768,589000,29000,+2.4,,35,17,4140,9908,34,23
20260914_225835,-0.2,00:01,617,14200,1850,+1.5,1-1,0,0,0,617,0,0
20260914_225835,16.6,00:18,1073,16400,1925,+1.5,1-9,1,0,20,1093,0,0
20260914_225835,26.1,00:28,1305,21000,2265,+1.5,2-3,2,0,60,1365,1,0
20260914_225835,41.4,00:43,1697,27400,2344,+1.5,2-8,4,0,200,1897,3,0
20260914_225835,45.5,00:47,1714,27700,2365,+1.5,2-9,4,1,240,1954,3,0
20260914_225835,64.1,01:05,1809,32100,2475,+1.5,,6,1,440,2249,5,0
20260914_225835,72.8,01:14,1773,32900,2532,+1.5,,7,1,540,2313,6,0
20260914_225835,76.6,01:18,1789,33400,2567,+1.5,,7,2,580,2369,6,0
20260914_225835,89.0,01:30,1698,34500,2649,+1.5,,8,3,740,2438,7,0
20260914_225835,107.1,01:48,1634,38100,2765,+1.5,3-6,10,3,940,2574,9,0
20260914_225835,117.3,01:59,1600,42000,2848,+1.5,,11,3,1040,2640,10,0
20260914_225835,128.3,02:09,1477,43000,2926,+1.5,,12,4,1180,2657,11,0
20260914_225835,145.2,02:26,1354,45500,3055,+1.5,,14,4,1380,2734,13,0
20260914_225835,147.4,02:29,1317,45700,3072,+1.5,,14,5,1420,2737,13,0
20260914_225835,164.2,02:45,1257,47400,3201,+1.8,,16,5,1620,2877,15,0
20260914_225835,170.8,02:52,1171,48099,3254,+1.8,,17,5,1720,2891,16,0
20260914_225835,186.3,03:07,1049,49600,3375,+1.8,,19,5,1920,2969,18,0
20260914_225835,201.7,03:23,936,51600,3545,+2.3,,21,5,2120,3056,20,0
20260914_225835,205.7,03:27,906,52000,3578,+2.3,,21,6,2160,3066,20,0
20260914_225835,221.0,03:42,849,56800,3728,+2.3,4-1,23,6,2360,3209,22,0
20260914_225835,229.4,03:50,768,57699,3804,+2.3,4-1,24,6,2460,3228,23,0
20260914_225835,243.9,04:05,934,59600,3965,+2.3,4-2,25,7,2600,3534,24,0
20260914_225835,246.2,04:07,899,59800,3987,+2.3,4-2,25,8,2640,3539,24,0
20260914_225835,255.2,04:16,871,67000,4105,+2.3,4-2,26,8,2740,3611,25,0
20260914_225835,267.8,04:29,762,68600,5138,+2.3,4-2,27,9,2880,3642,26,0
20260914_225835,281.5,04:42,643,70100,5291,+2.3,4-2,29,9,3080,3723,28,0
20260914_225835,298.7,05:00,483,73700,5497,+2.3,4-2,31,9,3280,3763,30,0
20260914_225835,305.6,05:06,400,74600,5588,+2.3,4-2,32,9,3380,3780,31,0
20260914_225835,322.6,05:23,387,76900,5842,+2.3,4-2,34,9,3580,3967,33,0
20260914_225835,338.2,05:39,249,78900,6048,+2.3,4-2,36,9,3780,4029,35,0
20260914_225835,346.9,05:48,170,80000,6174,+2.3,4-2,37,9,3880,4050,36,0
20260914_225835,351.2,05:52,140,80500,6222,+2.3,4-2,37,10,3920,4060,36,0
20260914_225835,364.0,06:05,18,87100,6587,+2.3,4-2,38,11,4080,4098,37,0
20260914_225835,389.6,06:30,128,92400,7240,+2.3,4-2,39,11,4180,4308,38,1
20260914_225835,420.1,07:01,322,104000,7722,+2.3,4-3,39,11,4180,4502,38,4
20260914_225835,450.4,07:31,494,111000,8248,+2.3,4-5,39,11,4180,4674,38,7
20260914_225835,479.8,08:00,720,117000,8753,+2.4,4-6,39,11,4180,4900,38,10
20260914_225835,509.8,08:30,965,124000,9362,+2.4,4-8,39,11,4180,5145,38,13
20260914_225835,540.0,09:00,1140,129000,9943,+2.4,4-10,39,11,4180,5320,38,16
20260914_225835,569.6,09:30,1285,136000,10500,+2.4,4-10,39,11,4180,5465,38,19
20260914_225835,599.1,09:59,1564,143000,11100,+2.4,5-2,39,11,4180,5744,38,21
20260914_225835,628.9,10:29,1739,164000,11800,+2.4,5-4,39,11,4180,5919,38,24
20260914_225835,643.5,10:44,1623,166000,12000,+2.4,5-5,40,11,4280,5903,39,24
20260914_225835,652.2,10:52,1617,168000,12300,+2.4,5-5,41,11,4380,5997,40,24
20260914_225835,663.2,11:03,1504,170000,12500,+2.4,5-5,42,12,4520,6024,41,24
20260914_225835,667.3,11:07,1474,170000,12600,+2.4,5-5,42,13,4560,6034,41,24
20260914_225835,671.4,11:11,1424,171000,12700,+2.4,5-5,42,14,4620,6044,41,24
20260914_225835,673.8,11:14,1351,171000,12700,+2.4,5-5,42,15,4700,6051,41,24
20260914_225835,687.6,11:28,1491,276000,13000,+2.4,5-6,42,15,4700,6191,41,25
20260914_225835,868.3,14:28,2676,322000,17100,+2.4,5-10,42,15,4700,7376,41,25
20260914_225835,898.3,14:57,2821,329000,17600,+2.4,5-10,42,15,4700,7521,41,25
20260914_225835,901.0,15:00,2729,336000,17700,+2.4,5-10,42,16,4800,7529,41,25
20260914_225835,903.4,15:02,2634,336000,17800,+2.4,5-10,42,17,4900,7534,41,25
20260914_225835,929.7,15:29,2600,344000,,+2.4,,42,18,5000,7600,41,27
20260914_225835,962.3,16:01,2600,344000,18200,+2.4,,42,18,5000,7600,41,27
20260914_225835,964.9,16:03,2500,344000,18200,+2.4,,42,19,5100,7600,41,27
20260914_225835,977.4,16:16,2408,346000,18200,+2.4,,43,19,5200,7608,42,27
20260915_000229,-0.2,00:02,617,14200,1850,+1.5,1-1,0,0,0,617,0,0
20260915_000229,16.8,00:19,1073,16400,1925,+1.5,1-9,1,0,20,1093,0,0
20260915_000229,27.7,00:30,1408,21200,2280,+1.5,2-5,2,0,60,1468,1,0
20260915_000229,34.4,00:36,1466,23700,2310,+1.5,2-6,3,0,120,1586,2,0
20260915_000229,42.9,00:45,1749,27500,2355,+1.5,2-9,4,0,200,1949,3,0
20260915_000229,51.4,00:53,1713,28300,2396,+1.5,2-10,5,0,300,2013,4,0
20260915_000229,60.0,01:02,1783,31000,2439,+1.5,,6,0,400,2183,5,0
20260915_000229,66.9,01:09,1753,32400,2497,+1.5,,7,0,500,2253,6,0
20260915_000229,75.5,01:17,1717,33300,2558,+1.5,,8,0,600,2317,7,0
20260915_000229,82.2,01:24,1679,33900,2609,+1.5,,9,0,700,2379,8,0
20260915_000229,101.0,01:43,1557,35600,2726,+1.5,,11,0,900,2457,10,0
20260915_000229,107.8,01:49,1575,38200,2773,+1.5,3-6,12,0,1000,2575,11,0
20260915_000229,114.5,01:56,1488,38900,2817,+1.8,3-6,13,0,1100,2588,12,0
20260915_000229,125.0,02:07,1507,40000,2905,+1.8,,14,0,1200,2707,13,0
20260915_000229,132.4,02:14,1422,40700,2965,+1.8,,15,0,1300,2722,14,0
20260915_000229,139.4,02:21,1385,42300,3026,+1.8,,16,0,1400,2785,15,0
20260915_000229,150.1,02:32,1304,43300,3097,+1.8,,17,0,1500,2804,16,0
20260915_000229,154.0,02:36,1330,43700,3133,+1.8,,17,1,1540,2870,16,0
20260915_000229,160.9,02:43,1343,44400,3190,+1.8,,18,1,1640,2983,17,0
20260915_000229,169.5,02:51,1260,45199,3250,+1.8,,19,1,1740,3000,18,0
20260915_000229,183.1,03:05,1135,46500,3356,+1.8,,21,1,1940,3075,20,0
20260915_000229,193.5,03:15,1056,47699,3456,+1.8,,22,1,2040,3096,21,0
20260915_000229,200.2,03:22,1017,48400,3519,+1.8,,23,1,2140,3157,22,0
20260915_000229,206.9,03:28,930,49100,3582,+1.8,,24,1,2240,3170,23,0
20260915_000229,216.9,03:38,849,51100,3682,+1.8,,25,1,2340,3189,24,0
20260915_000229,223.7,03:45,869,53800,3741,+1.8,4-1,26,1,2440,3309,25,0
20260915_000229,230.5,03:52,781,54400,3800,+1.8,4-1,27,1,2540,3321,26,0
20260915_000229,240.8,04:02,713,55700,3909,+1.8,4-1,28,1,2640,3353,27,0
20260915_000229,247.6,04:09,723,56500,3992,+1.8,4-2,29,1,2740,3463,28,0
20260915_000229,264.6,04:26,652,58500,4192,+2.3,4-2,31,1,2940,3592,30,0
20260915_000229,271.3,04:33,566,59300,4267,+2.3,4-2,32,1,3040,3606,31,0
20260915_000229,280.0,04:41,488,60300,4365,+2.3,4-2,33,1,3140,3628,32,0
20260915_000229,290.5,04:52,411,62800,4493,+2.3,4-2,34,1,3240,3651,33,0
20260915_000229,292.6,04:54,376,63000,4516,+2.3,4-2,34,2,3280,3656,33,0
20260915_000229,299.4,05:01,293,63900,4600,+2.3,4-2,35,2,3380,3673,34,0
20260915_000229,307.9,05:09,214,65100,4727,+2.3,4-2,36,2,3480,3694,35,0
20260915_000229,316.7,05:18,133,66100,4838,+2.3,4-2,37,2,3580,3713,36,0
20260915_000229,323.4,05:24,50,67000,4936,+2.3,4-2,38,2,3680,3730,37,0
20260915_000229,339.3,05:40,47,69000,5154,+2.3,4-2,39,2,3780,3827,38,0
20260915_000229,364.4,06:05,14,76200,5528,+2.3,,40,2,3880,3894,39,0
20260915_000229,370.7,06:12,28,77000,5624,+2.3,4-2,40,3,3920,3948,39,0
20260915_000229,377.1,06:18,45,77900,5723,+2.3,4-2,40,4,3980,4025,39,0
20260915_000229,383.2,06:24,19,78700,5818,+2.3,4-2,40,5,4060,4079,39,0
20260915_000229,387.9,06:29,29,79200,5884,+2.3,4-2,40,6,4160,4189,39,0
20260915_000229,392.8,06:34,40,79900,5957,+2.3,4-2,40,7,4260,4300,39,0
