pkg,frame,ts,t_rel,kind,target,gold,gold_s,gold_rate,gold_rate_s,wood,wood_s,wood_rate,wood_rate_s,kill,kill_s,kill_rate,kill_rate_s,clock,clock_s,stage,stage_s,task,task_s,refresh_price,refresh_price_s,bond_price,bond_price_s
solo_ingame_chain_20260914_212509_916691,f0024_state_change,1789392419.3689556,-0.2,timeline,,1.42万,0.995,+74.2,0.99,617,0.997,+1.5,0.987,1850,0.995,+2.5,0.99,00:01,0.987,1-15,0.993,主线1-1,0.985,,,,
solo_ingame_chain_20260914_212509_916691,f0039_action_before,1789392435.269076,15.7,bond_pick,ocr_bond:祝福,1.66万,0.996,,,972,0.995,+1.5,0.988,1913,0.999,,,00:17,0.973,,,主线1-7,0.995,40,0.989,20,0.983
solo_ingame_chain_20260914_212509_916691,f0049_action_before,1789392448.2000976,28.6,bond_pick,ocr_bond:祝福,2.76万,0.96,,,1531,0.999,+1.5,0.988,2284,0.996,,,00:30,0.984,,,主线2-6,0.959,40,0.989,40,0.978
solo_ingame_chain_20260914_212509_916691,f0055_action_before,1789392454.6168144,35.0,bond_pick,ocr_bond:祝福,2.84万,0.989,,,1632,0.996,+1.5,0.988,2328,0.996,,,00:37,0.992,,,主线2-9,0.99,40,0.989,60,0.993
solo_ingame_chain_20260914_212509_916691,f0062_action_before,1789392464.1660433,44.6,bond_refresh,bond_refresh_btn,3.63万,0.995,,,2081,0.994,+1.5,0.988,2383,0.998,,,00:46,0.989,,,主线-4,0.968,40,0.989,80,0.993
solo_ingame_chain_20260914_212509_916691,f0064_action_before,1789392467.999847,48.4,bond_pick,ocr_bond:成长,4.06万,0.994,,,2212,0.993,+1.5,0.988,2408,0.989,,,00:50,0.989,,,主线3-6,0.919,60,0.981,聘,0.07
solo_ingame_chain_20260914_212509_916691,f0079_action_before,1789392485.301699,65.7,bond_pick,ocr_bond:法术,4.77万,0.993,,,2472,0.997,+1.5,0.988,2516,0.996,,,01:07,0.987,,,主线4-1,0.994,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0085_action_before,1789392491.7167673,72.1,bond_pick,ocr_bond:成长,4.85万,0.995,,,2433,0.997,+1.5,0.988,2561,0.997,,,01:14,0.978,,,主线4-2,0.994,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0093_action_before,1789392500.302411,80.7,bond_pick,ocr_bond:法术,4.94万,0.995,,,2446,0.998,+1.5,0.988,2619,0.994,,,01:22,0.989,,,主线4-4,0.994,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0105_action_before,1789392513.8845212,94.3,bond_pick,ocr_bond:成长,5.47万,0.996,,,2433,0.997,+1.6,0.991,2709,0.986,,,01:36,0.982,,,主线4-6,0.972,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0114_action_before,1789392524.4340162,104.8,bond_pick,ocr_bond:急速,5.58万,0.995,,,2352,0.996,+1.9,0.992,2768,0.997,,,01:46,0.981,,,主线4-6,0.972,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0121_action_before,1789392532.6169674,113.0,bond_refresh,bond_refresh_btn,5.71万,0.995,,,2368,0.996,+1.9,0.992,2846,0.998,,,01:54,0.992,,,主线4-日,0.982,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0123_action_before,1789392534.7929454,115.2,bond_pick,ocr_bond:急速,5.74万,0.995,,,2384,0.997,+1.9,0.992,2860,0.994,,,01:57,0.986,,,主线4-日,0.982,60,0.981,,0.0
solo_ingame_chain_20260914_212509_916691,f0132_action_before,1789392545.3499372,125.7,bond_pick,ocr_bond:魔能,5.85万,0.994,,,2304,0.993,+1.9,0.992,2923,0.996,,,02:07,0.992,,,主线4-日,0.982,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0145_action_before,1789392560.3020375,140.7,bond_pick,ocr_bond:经济,6.20万,0.992,,,2183,0.997,+1.9,0.992,3029,0.988,,,02:22,0.993,,,主线4-9,0.994,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0153_action_before,1789392568.5831094,149.0,bond_pick,ocr_bond:经济,6.29万,0.993,,,2149,0.996,+1.9,0.992,3092,0.99,,,02:30,0.987,,,主线4-10,0.995,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0159_action_before,1789392574.9006093,155.3,bond_pick,ocr_bond:魔能,6.38万,0.992,,,2181,0.996,+1.9,0.992,3141,0.997,,,02:37,0.99,,,主线4-10,0.995,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0166_action_before,1789392582.9332266,163.3,bond_refresh,bond_refresh_btn,6.47万,0.996,,,2097,0.997,+1.9,0.992,3195,0.999,,,02:45,0.987,,,主线4-10,0.995,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0177_action_before,1789392594.8533072,175.2,bond_refresh,bond_refresh_btn,7.03万,0.994,,,2100,0.977,+2.4,0.989,3278,0.995,,,02:57,0.993,,,主线5-1,0.988,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0179_action_before,1789392598.6912103,179.1,bond_refresh,bond_refresh_btn,7.07万,0.993,,,2067,0.996,+2.4,0.989,3298,0.996,,,03:00,0.98,,,主线5-1,0.988,60,0.981,,0.0
solo_ingame_chain_20260914_212509_916691,f0181_action_before,1789392602.8375587,183.2,bond_pick,ocr_bond:暴击,7.12万,0.994,,,2017,0.997,+2.4,0.989,3330,0.997,,,03:05,0.991,,,主线5-1,0.988,80,0.973,定模,0.099
solo_ingame_chain_20260914_212509_916691,f0188_action_before,1789392611.4676127,191.9,bond_refresh,bond_refresh_btn,7.24万,0.993,,,1990,0.996,+2.4,0.989,3399,0.998,,,03:13,0.974,,,主线5-2,0.991,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0190_action_before,1789392613.7154045,194.1,bond_pick,ocr_bond:暴击,7.26万,0.992,,,1955,0.999,+2.4,0.989,3411,0.998,,,03:15,0.978,,,主线5-2,0.991,60,0.981,,0.0
solo_ingame_chain_20260914_212509_916691,f0199_action_before,1789392624.4507403,204.8,bond_pick,ocr_bond:挑战,7.43万,0.994,,,1932,0.996,+2.4,0.989,3515,0.999,,,03:26,0.991,,,主线5-3,0.921,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0212_action_before,1789392639.7055557,220.1,bond_refresh,bond_refresh_btn,7.86万,0.989,,,1819,0.999,+2.4,0.989,3658,0.999,,,03:41,0.976,,,主线5-3,0.921,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0214_action_before,1789392643.8020308,224.2,bond_pick,ocr_bond:封神,7.92万,0.992,,,1839,0.998,+2.4,0.989,3697,0.997,,,03:45,0.98,,,主线5-4,0.992,60,0.981,,0.0
solo_ingame_chain_20260914_212509_916691,f0222_action_before,1789392652.4843464,232.9,bond_pick,ocr_bond:封神,8.04万,0.991,,,1761,0.998,+2.4,0.989,3761,0.997,,,03:54,0.992,,,主线5-4,0.992,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0228_action_before,1789392659.7272165,240.1,bond_pick,ocr_bond:挑战,8.16万,0.993,,,1729,0.997,+2.4,0.989,3826,0.997,,,04:01,0.993,,,主线5-5,0.994,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0235_action_before,1789392668.5521758,248.9,bond_refresh,bond_refresh_btn,8.32万,0.991,,,1793,0.999,+2.4,0.989,3900,0.981,,,04:10,0.978,,,主线5-5,0.994,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0237_action_before,1789392670.9720628,251.4,bond_pick,ocr_bond:封神,8.35万,0.991,,,1758,0.999,+2.4,0.989,3919,0.997,,,04:12,0.985,,,主线5-5,0.994,60,0.981,,0.0
solo_ingame_chain_20260914_212509_916691,f0252_action_before,1789392688.9168305,269.3,bond_pick,ocr_bond:贪婪,8.60万,0.991,,,1602,0.992,+2.4,0.989,4969,0.998,,,04:30,0.991,,,主线5-5,0.994,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0258_action_before,1789392696.1507144,276.5,bond_pick,ocr_bond:贪婪,8.73万,0.993,,,1670,0.997,+2.4,0.989,5024,0.997,,,04:38,0.991,,,主线5-5,0.994,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0267_action_before,1789392706.8179486,287.2,bond_refresh,bond_refresh_btn,20.1万,0.992,,,1712,0.997,+2.4,0.989,5177,0.995,,,04:48,0.987,,,主线5-6,0.973,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0269_action_before,1789392711.0665438,291.5,bond_refresh,bond_refresh_btn,20.4万,0.994,,,1682,0.996,+2.4,0.989,5282,0.997,,,04:52,0.996,,,主线5-6,0.973,60,0.981,,0.0
solo_ingame_chain_20260914_212509_916691,f0271_action_before,1789392715.0175736,295.4,bond_refresh,bond_refresh_btn,20.5万,0.993,,,1631,0.998,+2.4,0.989,5373,0.999,,,04:56,0.995,,,主线5-6,0.973,80,0.973,国,0.171
solo_ingame_chain_20260914_212509_916691,f0273_action_before,1789392717.2997863,297.7,bond_pick,ocr_bond:封神,20.6万,0.994,,,1559,0.998,+2.4,0.989,5432,0.998,,,04:59,0.996,,,主线5-6,0.973,100,0.988,,0.0
solo_ingame_chain_20260914_212509_916691,f0298_action_before,1789392749.4829965,329.9,timeline,,22万,0.975,+104.2,0.994,1818,0.999,+2.4,0.989,6462,0.998,+3.5,0.995,05:31,0.991,1-15,0.993,主线5-日,0.972,,,,
solo_ingame_chain_20260914_212509_916691,f0321_action_before,1789392778.8845377,359.3,timeline,,22.8万,0.994,+104.2,0.994,2266,0.994,+2.4,0.989,6802,0.996,+3.5,0.995,06:00,0.989,1-15,0.993,主线5-9,0.991,,,,
solo_ingame_chain_20260914_212509_916691,f0345_action_after,1789392809.2004716,389.6,timeline,,24.2万,0.995,+104.2,0.995,2420,0.99,+2.4,0.99,7265,0.996,+3.5,0.995,06:30,0.992,1-15,0.993,主线-1,0.965,,,,
solo_ingame_chain_20260914_212509_916691,f0370_action_before,1789392839.9381714,420.3,timeline,,24.8万,0.995,+104.2,0.995,2689,0.997,+2.4,0.99,7758,0.995,+3.5,0.995,07:01,0.996,1-15,0.993,主线-1,0.965,,,,
solo_ingame_chain_20260914_212509_916691,f0394_action_after,1789392870.0030468,450.4,timeline,,25.8万,0.995,+104.2,0.994,2813,0.998,+2.4,0.989,8294,0.996,+3.5,0.995,07:31,0.991,1-15,0.993,主线6-1,0.971,,,,
solo_ingame_chain_20260914_212509_916691,f0419_state_change,1789392899.8678725,480.3,timeline,,26.4万,0.993,+104.2,0.994,2887,0.997,+2.4,0.989,8805,0.997,+3.5,0.995,08:01,0.991,1-15,0.993,主线6-1,0.971,,,,
solo_ingame_chain_20260914_212509_916691,f0442_state_change,1789392928.6790564,509.1,timeline,,27.5万,0.994,+104.2,0.994,3148,0.998,+2.4,0.989,9349,0.998,+3.5,0.995,08:29,0.992,1-15,0.993,主线6-1,0.971,,,,
solo_ingame_chain_20260914_212509_916691,f0462_action_before,1789392956.6035314,537.0,bond_refresh,bond_refresh_btn,30.1万,0.992,,,3018,0.993,+2.4,0.989,9904,0.994,,,08:57,0.993,,,主线6-1,0.971,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0464_action_before,1789392960.8548741,541.2,bond_refresh,bond_refresh_btn,30.2万,0.992,,,2988,0.997,+2.4,0.989,9963,0.999,,,09:01,0.995,,,主线6-1,0.971,60,0.981,,0.0
solo_ingame_chain_20260914_212509_916691,f0466_action_before,1789392963.3371673,543.7,bond_pick,ocr_bond:封神,30.2万,0.992,,,2935,0.997,+2.4,0.989,1.00月,0.908,,,09:04,0.995,,,主线6-1,0.971,80,0.973,,0.0
solo_ingame_chain_20260914_212509_916691,f0474_action_before,1789392971.819047,552.2,bond_pick,ocr_bond:封神,30.4万,0.993,,,2855,0.997,+2.4,0.989,1.01月,0.885,,,09:12,0.987,,,主线6-1,0.971,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0481_action_before,1789392980.5041728,560.9,bond_refresh,bond_refresh_btn,31.2万,0.991,,,2777,0.997,+2.4,0.989,1.03月,0.91,,,09:21,0.995,,,主线6-1,0.971,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0483_action_before,1789392982.9360886,563.3,bond_pick,ocr_bond:封神,31.2万,0.991,,,2742,0.996,+2.4,0.989,1.04月,0.908,,,09:23,0.994,,,主线6-1,0.971,60,0.981,,0.0
solo_ingame_chain_20260914_212509_916691,f0490_action_before,1789392991.8194683,572.2,bond_refresh,bond_refresh_btn,31.4万,0.993,,,2878,0.998,+2.4,0.989,1.06月,0.887,,,09:32,0.995,,,主线6-1,0.971,40,0.989,100,0.997
solo_ingame_chain_20260914_212509_916691,f0492_action_before,1789392995.8032534,576.2,bond_refresh,bond_refresh_btn,31.5万,0.993,,,2896,0.997,+2.4,0.99,1.06月,0.888,,,09:36,0.994,,,主线6-1,0.971,60,0.981,,0.0
solo_ingame_chain_20260914_212509_916691,f0494_action_before,1789392999.8532917,580.2,bond_refresh,bond_refresh_btn,31.6万,0.994,,,2940,0.995,+2.4,0.989,1.07月,0.928,,,09:40,0.988,,,主线6-1,0.971,80,0.973,,0.0
solo_ingame_chain_20260914_212509_916691,f0510_state_change,1789393019.1039455,599.5,timeline,,32万,0.977,+104.2,0.995,2907,0.996,+2.4,0.99,1.11万,0.916,+3.5,0.995,09:59,0.997,1-15,0.993,主线-1,0.965,,,,
solo_ingame_chain_20260914_212509_916691,f0516_action_after,1789393035.469607,615.9,timeline,,32.8万,0.993,+104.2,0.995,2949,0.998,+2.4,0.99,1.26万,0.919,+3.5,0.995,10:16,0.986,1-15,0.993,主线-1,0.965,,,,
solo_ingame_chain_20260914_212509_916691,f0518_state_change,1789393218.036456,798.4,timeline,,40.1万,0.993,+104.2,0.995,3970,0.998,+2.4,0.99,1.78万,0.904,+3.5,0.995,13:18,0.991,1-15,0.993,主线-1,0.965,,,,
solo_ingame_chain_20260914_212509_916691,f0520_state_change,1789393377.0055144,957.4,timeline,,46.5万,0.994,+104.2,0.995,4695,0.999,+2.4,0.99,2.27万,0.906,+3.5,0.995,15:57,0.997,1-15,0.993,主线-1,0.965,,,,
