file,function,line,field,value
mediator.py,set_phase,7854,phase,phase
mediator.py,set_phase,7727,_room_start_deadline,None
mediator.py,set_phase,7728,_room_start_next_retry_at,0.0
mediator.py,set_phase,7730,_stage_selected,False
mediator.py,set_phase,7731,_stage_target_name,None
mediator.py,set_phase,7732,_stage_target_position,None
mediator.py,set_phase,7733,_room_dialog_filled,False
mediator.py,set_phase,7734,_create_room_pending_since,None
mediator.py,set_phase,7735,_create_room_next_observe_at,None
mediator.py,set_phase,7736,_create_room_flow_deadline,None
mediator.py,set_phase,7737,_create_room_attempts,0
mediator.py,set_phase,7738,_create_room_opened_ok,False
mediator.py,set_phase,7739,_create_room_last_candidate,None
mediator.py,set_phase,7741,_room_action_deadline,time.time() + self.settings.query_timeout
mediator.py,set_phase,7743,_room_dialog_filled,False
mediator.py,set_phase,7761,_challenge_start_state,None
mediator.py,set_phase,7762,_challenge_start_hud_frames,0
mediator.py,set_phase,7763,_challenge_start_hero_modal_frames,0
mediator.py,set_phase,7765,_stage_scroll_attempts,0
mediator.py,set_phase,7766,_old_world_switch_attempts,0
mediator.py,set_phase,7768,_stage_selected,False
mediator.py,set_phase,7769,_stage_target_name,None
mediator.py,set_phase,7770,_stage_target_position,None
mediator.py,set_phase,7771,_stage_candidate_name,None
mediator.py,set_phase,7772,_stage_candidate_position,None
mediator.py,set_phase,7773,_stage_candidate_frames,0
mediator.py,set_phase,7774,_stage_select_attempts,0
mediator.py,set_phase,7775,_stage_scroll_cooldown_until,0.0
mediator.py,set_phase,7776,_room_action_deadline,time.time() + self._l0_transition_timeout()
mediator.py,set_phase,7777,_hero_state,'IDLE'
mediator.py,set_phase,7778,_hero_verified_level,0
mediator.py,set_phase,7779,_hero_level_baseline,None
mediator.py,set_phase,7780,_hero_level_candidate,None
mediator.py,set_phase,7781,_hero_card_baseline,None
mediator.py,set_phase,7782,_hero_step_deadline,None
mediator.py,set_phase,7783,_hero_modal_missing_frames,0
mediator.py,set_phase,7786,_round_started_at,None
mediator.py,set_phase,7787,_round_deadline,None
mediator.py,set_phase,7788,_outcome_recorded,False
mediator.py,set_phase,7793,_pending_action,None
mediator.py,set_phase,7794,_pending_action_unconfirmed_count,0
mediator.py,set_phase,7795,_round_outcome,None
mediator.py,set_phase,7797,_panel_episode_count,{}
mediator.py,set_phase,7798,_panel_cooldown_until,{}
mediator.py,set_phase,7799,_panel_state,PanelState.CLOSED
mediator.py,set_phase,7800,_panel_kind,None
mediator.py,set_phase,7801,_panel_episode_id,None
mediator.py,set_phase,7802,_panel_first_seen_at,None
mediator.py,set_phase,7803,_panel_last_progress_at,None
mediator.py,set_phase,7804,_panel_episode_started,None
mediator.py,set_phase,7805,_panel_visible_deadline,None
mediator.py,set_phase,7806,_panel_mutation_baseline,None
mediator.py,set_phase,7807,_panel_pending_choice_action,None
mediator.py,set_phase,7808,_panel_pending_choice_fingerprint,None
mediator.py,set_phase,7809,_panel_opened_by_us,None
mediator.py,set_phase,7810,_panel_fingerprint,None
mediator.py,set_phase,7811,_panel_fingerprint_attempts,0
mediator.py,set_phase,7812,_panel_anchor_candidate,None
mediator.py,set_phase,7829,_stage_attempt_budget,None
mediator.py,set_phase,7830,_l1_cycle_step,'merchant' if self._passenger_mode() else 'bond'
mediator.py,set_phase,7831,_public_bag_fsm,PublicBagFSM()
mediator.py,set_phase,7832,_public_bag_failed_sources,{}
mediator.py,set_phase,7833,_public_bag_personal_leftover,False
mediator.py,set_phase,7834,_l1_cycle_last_advance_at,time.time()
mediator.py,set_phase,7837,_panel_state,PanelState.CLOSED
mediator.py,set_phase,7838,_panel_opened_by_us,None
mediator.py,set_phase,7839,_panel_fingerprint,None
mediator.py,set_phase,7840,_panel_fingerprint_attempts,0
mediator.py,set_phase,7841,_panel_anchor_candidate,None
mediator.py,set_phase,7842,_selection_unknown_attempts,0
mediator.py,set_phase,7843,_selection_unknown_since,None
mediator.py,set_phase,7846,_l0_cycle_count,1
mediator.py,set_phase,7850,_l0_cycle_count,0
mediator.py,set_phase,7856,_interrupt_reason,note or 'unspecified'
mediator.py,set_phase,7858,_main_line_since,time.time()
mediator.py,set_phase,7859,_main_line_started_at,self._main_line_since
mediator.py,set_phase,7860,_selection_click_cooldown_until,0.0
mediator.py,set_phase,7861,_selection_unknown_attempts,0
mediator.py,set_phase,7862,_selection_unknown_since,None
mediator.py,set_phase,7863,_selection_repeat_key,None
mediator.py,set_phase,7864,_selection_repeat_attempts,0
mediator.py,set_phase,7865,_skill_refresh_attempts,0
mediator.py,set_phase,7870,_hero_focus_lost_count,0
mediator.py,set_phase,7871,_hero_focus_next_check_at,0.0
mediator.py,set_phase,7872,_early_challenge_pending,False
mediator.py,set_phase,7873,_early_challenge_started_at,None
mediator.py,set_phase,7874,_early_challenge_clicked_at,None
mediator.py,set_phase,7881,_pause_resume_attempts,0
mediator.py,set_phase,7882,_pause_resume_next_at,0.0
mediator.py,set_phase,7883,_close_main_line_triggered,False
mediator.py,set_phase,7884,_main_line_closed_done,False
mediator.py,set_phase,7888,_panel_episode_count,{}
mediator.py,set_phase,7889,_panel_cooldown_until,{}
mediator.py,set_phase,7890,_hitch_treasure_retry_at,0.0
mediator.py,set_phase,7891,_hitch_instance_seen,False
mediator.py,set_phase,7892,_hitch_instance_frames,0
mediator.py,set_phase,7893,_hitch_instance_announced,False
mediator.py,set_phase,7894,_hitch_instance_last_frame,None
mediator.py,set_phase,7903,_challenge_states,"{'coin_challenge': ChallengeState.PENDING, 'wood_challenge': ChallengeState.PENDING, 'experience_challenge': ChallengeState.PENDING, 'treasure_challenge': ChallengeState.PENDING}"
mediator.py,set_phase,7909,_auto_task_done,False
mediator.py,set_phase,7910,_auto_task_attempts,0
mediator.py,set_phase,7911,_auto_task_pending_since,None
mediator.py,set_phase,7912,_auto_task_next_observe_at,None
mediator.py,set_phase,7913,_auto_task_recheck_at,0.0
mediator.py,set_phase,7914,_hitch_pressure_transferred,False
mediator.py,set_phase,7915,_hitch_pressure_click_at,None
mediator.py,set_phase,7916,_hitch_pressure_seen_since,None
mediator.py,set_phase,7917,_hitch_pressure_request_generation,None
mediator.py,set_phase,7918,_hitch_pressure_retry_count,0
mediator.py,set_phase,7919,_hitch_pressure_request_attempts,0
mediator.py,set_phase,7920,_hitch_pressure_core_failed,False
mediator.py,set_phase,7921,_archaeology_handoff_pending,False
mediator.py,set_phase,7922,_archaeology_click_at,None
mediator.py,set_phase,7923,_archaeology_click_generation,None
mediator.py,set_phase,7924,_archaeology_click_attempts,0
mediator.py,set_phase,7925,_archaeology_template_miss_budget,40
mediator.py,set_phase,7926,_room_leave_pending,False
mediator.py,set_phase,7927,_auto_task_unknown_since,None
mediator.py,set_phase,7928,_victory_continue_attempts,0
mediator.py,set_phase,7929,_victory_continue_since,None
mediator.py,set_phase,7930,_post_game_pending,False
mediator.py,set_phase,7931,_hitch_postgame_started_at,None
mediator.py,set_phase,7935,_runtime_watchdog_hud_confirmations,0
mediator.py,set_phase,7936,_runtime_watchdog_last_frame_id,None
mediator.py,set_phase,7937,_post_game_hud_confirmations,0
mediator.py,set_phase,7938,_pending_archive_panel_frames,0
mediator.py,set_phase,7939,_post_game_archive_pending_only,False
mediator.py,set_phase,7943,_post_game_route,'secret'
mediator.py,set_phase,7944,_time_cave_boss_done,False
mediator.py,set_phase,7945,_archive_challenge_index,0
mediator.py,set_phase,7946,_archive_challenge_observe_attempts,0
mediator.py,set_phase,7947,_archive_challenge_click_attempts,0
mediator.py,set_phase,7948,_archive_challenge_confirm_attempts,0
mediator.py,set_phase,7949,_heirloom_boss_clicked_at,None
mediator.py,set_phase,7950,_heirloom_boss_confirm_unconfirmed,False
mediator.py,set_phase,7951,_passenger_heirloom_for_secret,False
mediator.py,set_phase,7952,_time_cave_boss_search_attempts,0
mediator.py,set_phase,7953,_hitch_postgame_hero_selected,False
mediator.py,set_phase,7954,_hitch_postgame_returned_to_base,False
mediator.py,set_phase,7955,_post_game_hub_entered_at,None
mediator.py,set_phase,7956,_post_game_active_wait_since,None
mediator.py,set_phase,7957,_team_exit_ocr_next_at,0.0
mediator.py,set_phase,7958,_team_exit_ocr_hits,0
mediator.py,set_phase,7959,_team_exit_ocr_error_logged_at,0.0
mediator.py,set_phase,7960,_post_game_close_attempts,0
mediator.py,set_phase,7961,_secret_realm_request_pending,False
mediator.py,set_phase,7962,_secret_realm_request_since,None
mediator.py,set_phase,7963,_secret_realm_request_attempts,0
mediator.py,set_phase,7964,_secret_realm_next_observe_at,0.0
mediator.py,set_phase,7965,_secret_realm_entering_since,None
mediator.py,set_phase,7966,_secret_realm_confirm_attempts,0
mediator.py,set_phase,7967,_secret_realm_confirm_next_observe_at,0.0
mediator.py,set_phase,7968,_secret_realm_hud_confirmations,0
mediator.py,set_phase,7969,_secret_realm_last_hud_frame_id,None
mediator.py,set_phase,7970,_secret_realm_active,False
mediator.py,set_phase,7971,_boss_challenge_attempts,0
mediator.py,set_phase,7972,_boss_challenge_scroll_attempts,0
mediator.py,set_phase,7973,_boss_challenge_next_at,0.0
mediator.py,set_phase,7974,_boss_challenge_page,None
mediator.py,set_phase,7975,_aux_dialog_attempts,"{'HEIRLOOM_DIALOG': 0, 'GREAT_RIFT_CONFIRM': 0}"
mediator.py,set_phase,7978,_challenge_start_attempts,0
mediator.py,set_phase,7979,_failure_candidate_frames,0
mediator.py,set_phase,7980,_failure_candidate_kind,None
mediator.py,set_phase,7981,_failure_candidate_gen,None
mediator.py,set_phase,7982,_recovery_step,None
mediator.py,set_phase,7983,_recovery_state,None
mediator.py,set_phase,7990,_panel_state,PanelState.CLOSED
mediator.py,set_phase,7991,_panel_kind,None
mediator.py,set_phase,7992,_panel_episode_id,None
mediator.py,set_phase,7993,_panel_first_seen_at,None
mediator.py,set_phase,7994,_panel_last_progress_at,None
mediator.py,set_phase,7995,_panel_episode_started,None
mediator.py,set_phase,7996,_panel_visible_deadline,None
mediator.py,set_phase,7997,_panel_mutation_baseline,None
mediator.py,set_phase,7998,_panel_pending_choice_action,None
mediator.py,set_phase,7999,_panel_pending_choice_fingerprint,None
mediator.py,set_phase,8000,_panel_opened_by_us,None
mediator.py,set_phase,8001,_panel_fingerprint,None
mediator.py,set_phase,8002,_panel_fingerprint_attempts,0
mediator.py,set_phase,8003,_panel_anchor_candidate,None
mediator.py,set_phase,8004,_pending_action,None
mediator.py,set_phase,8005,_pending_action_unconfirmed_count,0
mediator.py,set_phase,8006,_last_skill_panel,0.0
mediator.py,set_phase,8007,_last_bond_attempt,0.0
mediator.py,set_phase,8008,_last_treasure_attempt,0.0
mediator.py,set_phase,8009,_artifact_next_q,0.0
mediator.py,set_phase,8010,_artifact_next_w,0.0
mediator.py,set_phase,8011,_artifact_next_e,0.0
mediator.py,set_phase,8012,_evolve_click_cooldown_until,0.0
mediator.py,set_phase,8013,_evolve_feedback_pending,False
mediator.py,set_phase,8014,_evolve_click_at,0.0
mediator.py,set_phase,8015,_evolve_fail_count,0
mediator.py,set_phase,8016,_evolve_baseline,None
mediator.py,set_phase,8017,_l1_cycle_step,'merchant' if self._passenger_mode() else 'bond'
mediator.py,set_phase,8018,_public_bag_fsm,PublicBagFSM()
mediator.py,set_phase,8019,_public_bag_empty_since,None
mediator.py,set_phase,8020,_public_bag_failed_sources,{}
mediator.py,set_phase,8021,_l1_cycle_owned_panel,False
mediator.py,set_phase,8022,_l1_cycle_selected,False
mediator.py,set_phase,8023,_merchant_next_at,0.0
mediator.py,set_phase,8024,_merchant_discovery_deadline,None
mediator.py,set_phase,8025,_merchant_fsm,MerchantFSM()
mediator.py,set_phase,8026,_equipment_next_at,0.0
mediator.py,set_phase,8027,_equipment_pending_until,0.0
mediator.py,set_phase,8028,_pickup_next_at,0.0
mediator.py,set_phase,8029,_fail_gift_attempts,0
mediator.py,set_phase,8030,_evolution_attempts,0
mediator.py,set_phase,8031,_evolution_next_at,0.0
mediator.py,set_phase,8032,_evolution_baseline,None
mediator.py,set_phase,8033,_evolve_ok_this_cycle,False
mediator.py,set_phase,8034,_inventory_clicks_this_visit,0
mediator.py,set_phase,8035,_inventory_last_pt,None
mediator.py,set_phase,8036,_inventory_same_pt_hits,0
mediator.py,set_phase,8037,_inventory_next_at,0.0
mediator.py,set_phase,8038,_devour_dan_consecutive_clicks,0
mediator.py,set_phase,8040,_exit_button_attempts,0
mediator.py,set_phase,8041,_exit_since,time.time()
mediator.py,set_phase,8043,_exit_confirm_attempts,0
mediator.py,set_phase,8044,_exit_since,time.time()
mediator.py,set_phase,8048,_longzhu_deadline,time.time() + sec
mediator.py,set_phase,8049,_f1_fallback_done,False
mediator.py,set_phase,7748,_room_action_deadline,time.time() + self.settings.query_timeout
mediator.py,set_phase,7753,_challenge_start_state,'WAIT_TRANSITION'
mediator.py,set_phase,7754,_challenge_start_source,'stage'
mediator.py,set_phase,7755,_challenge_start_deadline,"time.time() + max(20, min(self.settings.query_timeout, 60))"
mediator.py,set_phase,7756,_challenge_start_hud_frames,0
mediator.py,set_phase,7757,_challenge_start_hero_modal_frames,0
mediator.py,set_phase,7899,_pressure_next_at,0.0
mediator.py,set_phase,7902,_pressure_next_at,self._main_line_since + pressure_interval
mediator.py,set_phase,7987,_round_started_at,time.time()
mediator.py,set_phase,7988,_round_deadline,self._round_started_at + self.settings.round_timeout_s
mediator.py,_hitch_after_exit,10169,_awaiting_room_return,False
mediator.py,_hitch_after_exit,10170,_hitch_re_search,True
mediator.py,_hitch_after_exit,10171,_hitch_sm,self._new_hitch_sm()
mediator.py,_hitch_after_exit,10175,_hitch_search,None
mediator.py,_hitch_after_exit,10176,_hitch_refresh_required,True
mediator.py,_hitch_after_exit,10177,_hitch_pending_row_y,None
mediator.py,_hitch_after_exit,10178,_hitch_join_origin_hwnd,None
mediator.py,_hitch_after_exit,10179,_hitch_pending_room_key,None
mediator.py,_hitch_after_exit,10183,_hitch_floor_exit_pending,False
mediator.py,_hitch_after_exit,10184,_hitch_floor_exit_confirmed,False
mediator.py,_hitch_after_exit,10185,_hitch_floor_exit_attempted_at,None
mediator.py,_hitch_after_exit,10186,_hitch_floor_exit_deadline,None
mediator.py,_hitch_after_exit,10187,_hitch_floor_exit_input_generation,None
mediator.py,_hitch_after_exit,10188,_hitch_floor_exit_reobserve_until,None
mediator.py,_hitch_after_exit,10189,_hitch_floor_exit_started_at,None
mediator.py,_hitch_after_exit,10190,_hitch_floor_exit_clicks,0
mediator.py,_hitch_after_exit,10191,_hitch_floor_exit_confirm_clicks,0
mediator.py,_hitch_after_exit,10192,_hitch_floor_exit_confirm_at,None
mediator.py,_hitch_after_exit,10194,_hitch_member_room_hwnd,None
mediator.py,_hitch_after_exit,10195,_hitch_pre_ready_rows,None
mediator.py,_hitch_after_exit,10196,_hitch_self_row,None
mediator.py,_hitch_after_exit,10197,_hitch_floor_one_baseline,None
mediator.py,_hitch_after_exit,10198,_hitch_floor_one_candidate,None
mediator.py,_hitch_after_exit,10199,_hitch_seat_streak,None
mediator.py,_hitch_after_exit,10200,_hitch_seat_generation,None
mediator.py,_hitch_after_exit,10201,_hitch_join_preexisting_hwnds,frozenset()
mediator.py,_hitch_after_exit,10203,_hitch_ready_timeout_pending,False
mediator.py,_hitch_after_exit,10204,_hitch_ready_timeout_leave_at,None
mediator.py,_hitch_after_exit,10205,_hitch_ready_timeout_attempts,0
mediator.py,_hitch_after_exit,10206,_hitch_ready_timeout_deadline,None
mediator.py,_hitch_after_exit,10207,_hitch_ready_confirmed_at,None
mediator.py,_hitch_after_exit,10208,_hitch_opening_pressure_armed,False
mediator.py,_hitch_after_exit,10209,_hitch_heirloom_exit_since,None
mediator.py,_hitch_after_exit,10210,_hitch_postgame_started_at,None
mediator.py,_hitch_after_exit,10218,_round_started_at,None
mediator.py,_hitch_after_exit,10219,_round_deadline,None
mediator.py,_hitch_after_exit,10220,_outcome_recorded,False
mediator.py,_hitch_after_exit,10221,_round_outcome,None
mediator.py,_finish_hitch_round,10233,game_count,1
mediator.py,_finish_hitch_round,10234,_hitch_game_exit_at,now
runtime_mediator.py,set_phase,722,_l1_cycle_index,0
runtime_mediator.py,set_phase,723,_l1_cycle_step,self._l1_cycle_order()[0]
runtime_mediator.py,set_phase,726,_runtime_watchdog_stalled,False
runtime_mediator.py,set_phase,727,_runtime_watchdog_first_stall_at,None
runtime_mediator.py,set_phase,728,_runtime_watchdog_hud_confirmations,0
runtime_mediator.py,set_phase,729,_runtime_watchdog_last_frame_id,None
