method,runtime_line,core_line,kind
__init__,31,638,override
prepare_live_dependencies,100,,runtime_helper
_mark_runtime_progress,214,,runtime_helper
_l1_cycle_order,217,,runtime_helper
_advance_l1_cycle,227,3932,override
_runtime_watchdog_allowed,253,,runtime_helper
_runtime_watchdog_hud_confirmed,276,,runtime_helper
_tick_main_line,304,13651,override
_physical_panel_key,351,,runtime_helper
_reset_physical_panel_guard,360,,runtime_helper
_verified_panel_close,368,,runtime_helper
_hide_fallback_hit,397,5509,override
_arm_runtime_unknown_panel,401,,runtime_helper
_clear_runtime_unknown_panel,407,,runtime_helper
_physical_panel_watchdog,411,,runtime_helper
_tick_panel_fsm,452,13252,override
_confirm_panel_choice_action,461,13026,override
_find_evolution_choice,471,4125,override
_maybe_use_inventory_item,510,4257,override
_maybe_black_merchant,590,5300,override
_find_stage_start,596,11463,override
_canonical_bond_name,620,3455,override
_is_bond_card_click_name,630,,runtime_helper
_configured_bond_presets,639,,runtime_helper
_remaining_bond_presets,642,,runtime_helper
_bond_presets_complete,647,,runtime_helper
_stage_bond_card,650,3149,override
_commit_pending_bond_cards,658,3161,override
_clear_pending_bond_cards,666,,runtime_helper
_confirmed_bond_cards,669,3169,override
_commit_pending_skill_cards,672,3124,override
_clear_pending_skill_cards,676,3140,override
act_click,680,2080,override
act_right_click,693,2101,override
act_key,699,2122,override
_policy_settings,708,3070,override
set_phase,715,7723,override
_maybe_open_choice_panel,732,3956,override
_find_reward_choice,748,3627,override
panel_episode_diagnostics,800,13127,override
