field,initial,writes,reads
_ambiguous_giveup_frames,0,mediator.py:__init__:1102; mediator.py:_tick_impl:12866; mediator.py:_tick_impl:12883,
_archaeology_click_at,None,mediator.py:__init__:977; mediator.py:_maybe_switch_to_archaeology:7460; mediator.py:_maybe_switch_to_archaeology:7507; mediator.py:set_phase:7922,mediator.py:_maybe_switch_to_archaeology:7450
_archaeology_click_attempts,0,mediator.py:__init__:979; mediator.py:_maybe_switch_to_archaeology:7500; mediator.py:set_phase:7924,mediator.py:_maybe_switch_to_archaeology:7501
_archaeology_click_generation,None,mediator.py:__init__:978; mediator.py:_maybe_switch_to_archaeology:7508; mediator.py:set_phase:7923,mediator.py:_maybe_switch_to_archaeology:7452
_archaeology_handoff_confirmed,False,mediator.py:__init__:660; mediator.py:_maybe_switch_to_archaeology:7459,mediator.py:_classify_run_exit:14933
_archaeology_handoff_pending,False,mediator.py:__init__:976; mediator.py:_tick_l0:11860; mediator.py:set_phase:7921,mediator.py:_maybe_switch_to_archaeology:7471; mediator.py:_tick_l0:12023
_archaeology_template_miss_budget,40,mediator.py:__init__:975; mediator.py:_maybe_switch_to_archaeology:7489; mediator.py:set_phase:7925,mediator.py:_maybe_switch_to_archaeology:7490; mediator.py:_maybe_switch_to_archaeology:7495
_archive_challenge_click_attempts,0,mediator.py:__init__:928; mediator.py:_maybe_click_archive_challenge:5743; mediator.py:_maybe_click_archive_challenge:5753; mediator.py:_maybe_click_archive_challenge:5757; mediator.py:set_phase:7947,mediator.py:_maybe_click_archive_challenge:5753; mediator.py:_maybe_click_archive_challenge:5754; mediator.py:_maybe_click_archive_challenge:5760
_archive_challenge_confirm_attempts,0,mediator.py:__init__:930; mediator.py:_maybe_click_archive_challenge:5712; mediator.py:_maybe_click_archive_challenge:5744; mediator.py:_maybe_click_archive_challenge:5750; mediator.py:set_phase:7948,mediator.py:_maybe_click_archive_challenge:5745; mediator.py:_maybe_click_archive_challenge:5747
_archive_challenge_index,0,mediator.py:__init__:925; mediator.py:_maybe_click_archive_challenge:5713; mediator.py:_maybe_click_archive_challenge:5727; mediator.py:_maybe_click_archive_challenge:5749; mediator.py:_maybe_click_archive_challenge:5756; mediator.py:_tick_main_line:13901; mediator.py:set_phase:7945,mediator.py:_maybe_click_archive_challenge:5702; mediator.py:_tick_main_line:14055
_archive_challenge_next_at,0.0,mediator.py:__init__:926; mediator.py:_maybe_click_archive_challenge:5730; mediator.py:_maybe_click_archive_challenge:5738; mediator.py:_tick_main_line:13902; mediator.py:_tick_main_line:14039,mediator.py:_maybe_click_archive_challenge:5706
_archive_challenge_observe_attempts,0,mediator.py:__init__:927; mediator.py:_maybe_click_archive_challenge:5724; mediator.py:_maybe_click_archive_challenge:5728; mediator.py:_maybe_click_archive_challenge:5742; mediator.py:_maybe_click_archive_challenge:5758; mediator.py:set_phase:7946,mediator.py:_maybe_click_archive_challenge:5725; mediator.py:_maybe_click_archive_challenge:5731
_archiver,IncidentArchiver(root=incident_dir) if incident_dir else None,mediator.py:__init__:1123,mediator.py:_find_reward_choice:3657; mediator.py:_find_reward_choice:3658; mediator.py:_record_environment_incident:12361; mediator.py:_record_environment_incident:12366; mediator.py:_record_fail_closed_incident:8515; mediator.py:_record_fail_closed_incident:8521; mediator.py:_record_lobby_observation_incident:8571; mediator.py:_record_lobby_observation_incident:8576; mediator.py:_record_recovery_incident:8478; mediator.py:_record_recovery_incident:8484; mediator.py:_record_repeat_click:8603; mediator.py:_record_repeat_click:8606; mediator.py:_record_round_timeout_incident:13569; mediator.py:_record_round_timeout_incident:13574; mediator.py:_record_selection_unknown:8542; mediator.py:_record_selection_unknown:8544; mediator.py:_tick_impl:12777; mediator.py:_tick_impl:12780; mediator.py:_tick_impl:12790; mediator.py:_tick_impl:12792
_artifact_next_e,,mediator.py:set_phase:8011,
_artifact_next_q,,mediator.py:set_phase:8009,
_artifact_next_w,,mediator.py:set_phase:8010,
_auto_task_attempts,0,mediator.py:__init__:897; mediator.py:_ensure_auto_task_enabled:2597; mediator.py:_ensure_auto_task_enabled:2651; mediator.py:set_phase:7910,mediator.py:_ensure_auto_task_enabled:2634; mediator.py:_ensure_auto_task_enabled:2637; mediator.py:_ensure_auto_task_enabled:2641; mediator.py:_ensure_auto_task_enabled:2653; mediator.py:_ensure_auto_task_enabled:2661; mediator.py:_ensure_auto_task_enabled:2663; mediator.py:_ensure_auto_task_enabled:2667
_auto_task_done,False,mediator.py:__init__:896; mediator.py:_auto_task_unknown_fuse:2543; mediator.py:_ensure_auto_task_enabled:2596; mediator.py:_ensure_auto_task_enabled:2609; mediator.py:_ensure_auto_task_enabled:2631; mediator.py:_ensure_auto_task_enabled:2638; mediator.py:_ensure_auto_task_enabled:2664; mediator.py:set_phase:7909,mediator.py:_ensure_auto_task_enabled:2561; mediator.py:_ensure_auto_task_enabled:2576; mediator.py:_ensure_auto_task_enabled:2580; mediator.py:_ensure_auto_task_enabled:2584; mediator.py:_tick_main_line:14367; mediator.py:_tick_main_line:14557
_auto_task_next_observe_at,None,mediator.py:__init__:899; mediator.py:_ensure_auto_task_enabled:2612; mediator.py:_ensure_auto_task_enabled:2622; mediator.py:_ensure_auto_task_enabled:2656; mediator.py:set_phase:7912,mediator.py:_ensure_auto_task_enabled:2614
_auto_task_pending_since,None,mediator.py:__init__:898; mediator.py:_ensure_auto_task_enabled:2611; mediator.py:_ensure_auto_task_enabled:2621; mediator.py:_ensure_auto_task_enabled:2655; mediator.py:set_phase:7911,mediator.py:_ensure_auto_task_enabled:2604; mediator.py:_ensure_auto_task_enabled:2657
_auto_task_recheck_at,0.0,mediator.py:__init__:900; mediator.py:_auto_task_unknown_fuse:2544; mediator.py:_ensure_auto_task_enabled:2574; mediator.py:_ensure_auto_task_enabled:2588; mediator.py:_ensure_auto_task_enabled:2592; mediator.py:_ensure_auto_task_enabled:2610; mediator.py:_ensure_auto_task_enabled:2632; mediator.py:_ensure_auto_task_enabled:2639; mediator.py:_ensure_auto_task_enabled:2665; mediator.py:_hitch_soft_reset:9986; mediator.py:set_phase:7913,mediator.py:_ensure_auto_task_enabled:2571
_auto_task_unknown_since,None,mediator.py:__init__:901; mediator.py:_auto_task_unknown_fuse:2523; mediator.py:_auto_task_unknown_fuse:2526; mediator.py:_auto_task_unknown_fuse:2530; mediator.py:_auto_task_unknown_fuse:2545; mediator.py:_ensure_auto_task_enabled:2566; mediator.py:set_phase:7927,mediator.py:_auto_task_unknown_fuse:2529; mediator.py:_auto_task_unknown_fuse:2531
_aux_dialog_attempts,"{'HEIRLOOM_DIALOG': 0, 'GREAT_RIFT_CONFIRM': 0}",mediator.py:__init__:1110; mediator.py:_tick_main_line:13939 (item); mediator.py:_tick_main_line:14239 (item); mediator.py:_tick_main_line:14249 (item); mediator.py:_tick_main_line:14312 (item); mediator.py:set_phase:7975,mediator.py:_tick_main_line:13937; mediator.py:_tick_main_line:13939; mediator.py:_tick_main_line:14235; mediator.py:_tick_main_line:14239; mediator.py:_tick_main_line:14249; mediator.py:_tick_main_line:14302; mediator.py:_tick_main_line:14312
_awaiting_room_return,False,mediator.py:__init__:968; mediator.py:_finish_direct_failure_exit:8275; mediator.py:_hitch_after_exit:10169; mediator.py:_tick_l0:11838; mediator.py:_tick_l0:11843; mediator.py:_tick_l1_tail:14825,mediator.py:_tick_l0:11768; mediator.py:_tick_l0:11837; mediator.py:_tick_l0:11841
_bond_cards_owned,[],mediator.py:__init__:998; mediator.py:_commit_pending_bond_cards:3166 (mutation); mediator.py:set_phase:7869 (mutation); runtime_mediator.py:__init__:33; runtime_mediator.py:_commit_pending_bond_cards:662 (mutation); runtime_mediator.py:set_phase:720 (mutation),mediator.py:_commit_pending_bond_cards:3166; mediator.py:_confirmed_bond_cards:3171; mediator.py:set_phase:7869; runtime_mediator.py:_commit_pending_bond_cards:662; runtime_mediator.py:_commit_pending_bond_cards:663; runtime_mediator.py:_confirmed_bond_cards:670; runtime_mediator.py:set_phase:720
_bond_cards_pending,[],mediator.py:__init__:997; mediator.py:_clear_pending_skill_cards:3143 (mutation); mediator.py:_commit_pending_bond_cards:3167 (mutation); mediator.py:_stage_bond_card:3159 (mutation); mediator.py:set_phase:7868 (mutation); runtime_mediator.py:__init__:32; runtime_mediator.py:_clear_pending_bond_cards:667 (mutation); runtime_mediator.py:_commit_pending_bond_cards:664 (mutation); runtime_mediator.py:_stage_bond_card:656 (mutation); runtime_mediator.py:set_phase:719 (mutation),mediator.py:_clear_pending_skill_cards:3143; mediator.py:_commit_pending_bond_cards:3163; mediator.py:_commit_pending_bond_cards:3165; mediator.py:_commit_pending_bond_cards:3167; mediator.py:_stage_bond_card:3159; mediator.py:set_phase:7868; runtime_mediator.py:_clear_pending_bond_cards:667; runtime_mediator.py:_commit_pending_bond_cards:659; runtime_mediator.py:_commit_pending_bond_cards:661; runtime_mediator.py:_commit_pending_bond_cards:664; runtime_mediator.py:_stage_bond_card:656; runtime_mediator.py:set_phase:719
_boss_challenge_attempts,0,mediator.py:__init__:959; mediator.py:_maybe_challenge_configured_boss:6210; mediator.py:_maybe_challenge_configured_boss:6317; mediator.py:_tick_main_line:14016; mediator.py:_tick_main_line:14079; mediator.py:_tick_main_line:14214; mediator.py:set_phase:7971,mediator.py:_maybe_challenge_configured_boss:6233; mediator.py:_maybe_challenge_configured_boss:6249; mediator.py:_maybe_challenge_configured_boss:6323; mediator.py:_maybe_challenge_configured_boss:6324; mediator.py:_maybe_challenge_configured_boss:6344; mediator.py:_maybe_challenge_configured_boss:6347; mediator.py:_tick_main_line:14075; mediator.py:_tick_main_line:14222; mediator.py:_tick_main_line:14480
_boss_challenge_next_at,0.0,mediator.py:__init__:964; mediator.py:_maybe_challenge_configured_boss:6212; mediator.py:_maybe_challenge_configured_boss:6304; mediator.py:_maybe_challenge_configured_boss:6321; mediator.py:_maybe_challenge_configured_boss:6352; mediator.py:_tick_main_line:14018; mediator.py:_tick_main_line:14216; mediator.py:set_phase:7973,mediator.py:_maybe_challenge_configured_boss:6251; mediator.py:_tick_main_line:14066; mediator.py:_tick_main_line:14481
_boss_challenge_page,,mediator.py:_maybe_challenge_configured_boss:6213; mediator.py:_tick_main_line:14217; mediator.py:set_phase:7974,mediator.py:_maybe_challenge_configured_boss:6204; mediator.py:_tick_main_line:14210
_boss_challenge_scroll_attempts,0,mediator.py:__init__:963; mediator.py:_maybe_challenge_configured_boss:6211; mediator.py:_maybe_challenge_configured_boss:6302; mediator.py:_tick_main_line:14017; mediator.py:_tick_main_line:14215; mediator.py:set_phase:7972,mediator.py:_maybe_challenge_configured_boss:6300; mediator.py:_maybe_challenge_configured_boss:6308
_boss_clicked,False,mediator.py:__init__:665,
_cached_policy_settings,None,mediator.py:__init__:1175; mediator.py:_policy_settings:3078,mediator.py:_policy_settings:3077; mediator.py:_policy_settings:3086
_capture_black_hwnds,(),mediator.py:__init__:821; mediator.py:_capture_best:1381; mediator.py:_capture_best:1390,mediator.py:_trace_tick:12492
_capture_candidates,0,mediator.py:__init__:720; mediator.py:_capture_best:1359,mediator.py:_trace_tick:12490
_capture_generation,0,mediator.py:__init__:702; mediator.py:see:1649,mediator.py:_hitch_begin_room_exit:9914; mediator.py:_hitch_modal_observation_key:9591; mediator.py:_hitch_track_room_seats:9437; mediator.py:_tick_hitch_kk_nav:10343; mediator.py:_tick_hitch_platform_modal:9704; mediator.py:_tick_lobby_hitch:10806; mediator.py:_tick_lobby_hitch:10956; mediator.py:_tick_lobby_hitch:11131
_capture_miss_streak,0,mediator.py:__init__:719; mediator.py:_capture_best:1440; mediator.py:_capture_best:1449; mediator.py:_capture_best:1467; mediator.py:_capture_best:1472; mediator.py:_capture_best:1480; mediator.py:_capture_best:1494; mediator.py:_capture_best:1497; mediator.py:_capture_best:1503,mediator.py:_capture_best:1498
_capture_selected_by,None,mediator.py:__init__:822; mediator.py:_capture_best:1376; mediator.py:_capture_best:1441; mediator.py:_capture_best:1450; mediator.py:_capture_best:1468; mediator.py:_capture_best:1473; mediator.py:_capture_best:1481; mediator.py:_capture_best:1485; mediator.py:_capture_best:1495; mediator.py:_capture_best:1500; mediator.py:_capture_best:1517,mediator.py:_trace_tick:12491
_challenge_attempts,{},mediator.py:__init__:886; mediator.py:_ensure_challenge_buttons:7095 (item); mediator.py:_ensure_challenge_buttons:7191 (item); mediator.py:set_phase:7876 (mutation),mediator.py:_ensure_challenge_buttons:7095; mediator.py:_ensure_challenge_buttons:7148; mediator.py:_ensure_challenge_buttons:7191; mediator.py:_ensure_challenge_buttons:7192; mediator.py:set_phase:7876
_challenge_done,set(),mediator.py:__init__:885; mediator.py:_ensure_challenge_buttons:7094 (mutation); mediator.py:_ensure_challenge_buttons:7116 (mutation); mediator.py:_ensure_challenge_buttons:7141 (mutation); mediator.py:_ensure_challenge_buttons:7152 (mutation); mediator.py:_ensure_challenge_buttons:7168 (mutation); mediator.py:_ensure_challenge_buttons:7180 (mutation); mediator.py:_ensure_challenge_buttons:7201 (mutation); mediator.py:set_phase:7875 (mutation),mediator.py:_ensure_challenge_buttons:7053; mediator.py:_ensure_challenge_buttons:7094; mediator.py:_ensure_challenge_buttons:7116; mediator.py:_ensure_challenge_buttons:7141; mediator.py:_ensure_challenge_buttons:7152; mediator.py:_ensure_challenge_buttons:7168; mediator.py:_ensure_challenge_buttons:7180; mediator.py:_ensure_challenge_buttons:7201; mediator.py:_tick_main_line:14368; mediator.py:set_phase:7875
_challenge_next_observe_at,{},mediator.py:__init__:889; mediator.py:_ensure_challenge_buttons:7119 (mutation); mediator.py:_ensure_challenge_buttons:7130 (mutation); mediator.py:_ensure_challenge_buttons:7211 (item); mediator.py:set_phase:7879 (mutation),mediator.py:_ensure_challenge_buttons:7119; mediator.py:_ensure_challenge_buttons:7122; mediator.py:_ensure_challenge_buttons:7130; mediator.py:_ensure_challenge_buttons:7211; mediator.py:set_phase:7879
_challenge_pending_since,{},mediator.py:__init__:888; mediator.py:_ensure_challenge_buttons:7118 (mutation); mediator.py:_ensure_challenge_buttons:7129 (mutation); mediator.py:_ensure_challenge_buttons:7210 (item); mediator.py:set_phase:7878 (mutation),mediator.py:_ensure_challenge_buttons:7106; mediator.py:_ensure_challenge_buttons:7118; mediator.py:_ensure_challenge_buttons:7129; mediator.py:_ensure_challenge_buttons:7210; mediator.py:set_phase:7878
_challenge_recheck_at,{},mediator.py:__init__:903; mediator.py:_ensure_challenge_buttons:7064 (item); mediator.py:_ensure_challenge_buttons:7083 (item); mediator.py:_ensure_challenge_buttons:7090 (item); mediator.py:_ensure_challenge_buttons:7117 (item); mediator.py:_ensure_challenge_buttons:7142 (item); mediator.py:_ensure_challenge_buttons:7153 (mutation); mediator.py:_ensure_challenge_buttons:7169 (item); mediator.py:_ensure_challenge_buttons:7181 (item); mediator.py:_ensure_challenge_buttons:7202 (mutation); mediator.py:set_phase:7885 (mutation),mediator.py:_ensure_challenge_buttons:7060; mediator.py:_ensure_challenge_buttons:7064; mediator.py:_ensure_challenge_buttons:7083; mediator.py:_ensure_challenge_buttons:7090; mediator.py:_ensure_challenge_buttons:7117; mediator.py:_ensure_challenge_buttons:7142; mediator.py:_ensure_challenge_buttons:7153; mediator.py:_ensure_challenge_buttons:7169; mediator.py:_ensure_challenge_buttons:7181; mediator.py:_ensure_challenge_buttons:7202; mediator.py:set_phase:7885
_challenge_start_attempts,0,mediator.py:__init__:687; mediator.py:_challenge_start_timeout:11680; mediator.py:set_phase:7978,mediator.py:_challenge_start_timeout:11683; mediator.py:_tick_l0:12304; mediator.py:_tick_l0:12326
